	Prognosis	A_I_phase_1	A_I_phase_2	A_R1_phase	Maintenance therapy	protein_cluster
ENSG00000125971	3.527328833	3.0901055	3.5561483	3.0447552	2.364605267	2
ENSG00000101464	2.829948733	0.9116576	0.9836401	2.3311605	0.8288031	1
ENSG00000198646	3.118808133	1.0648184	1.7269294	3.586201	1.731180367	7
ENSG00000078804	1.84357255	0.64689493	1.6617129	3.4650724	2.2984279	6
ENSG00000131069	2.395756	0.413701	1.1917621	2.431268	2.080751433	7
ENSG00000100983	4.270290767	2.1726346	2.4398243	0.3808069	1.288783	5
ENSG00000078814	0.087780087	0	0	0	0.054629007	1
ENSG00000100991	5.049858233	3.8380218	4.4839673	4.7237887	3.070695667	3
ENSG00000088298	3.767857967	2.8329139	3.7914813	3.2725787	2.6843737	2
ENSG00000126005	2.250697267	2.2877276	2.9614878	1.9496369	1.836649567	4
ENSG00000125966	1.643225267	1.7352011	2.1305153	1.9311846	1.606089267	3
ENSG00000261582	3.424295033	2.83134	2.900488	2.3133109	1.592424467	2
ENSG00000242372	6.106283333	5.246381	4.0972557	1.2877128	3.127264667	5
ENSG00000101019	2.044540867	0.38378167	1.9321268	1.2062168	0	2
ENSG00000126001	1.989752867	1.4208453	1.4901541	2.676694	0.011265898	3
ENSG00000125991	4.86911	4.1382666	4.631087	2.671727	2.1171818	5
ENSG00000061656	0.020989577	0	0.3896866	0.07866634	0.310605533	6
ENSG00000214078	6.0766025	5.193862	5.186886	3.2838016	3.447799367	5
ENSG00000272897	5.607847233	4.2411985	4.7232523	3.1422954	2.9317981	5
ENSG00000244462	4.768381767	2.2371874	3.2626345	5.350151	2.292530533	1
ENSG00000244005	0.711733897	0	0.36284614	1.7851266	0.012099577	7
ENSG00000131051	4.6541591	3.1242466	5.0950513	5.181241	2.942922767	3
ENSG00000025293	2.9292052	0.88327897	1.8742192	3.4056418	1.954485633	7
ENSG00000171222	4.829686	4.943704	4.552191	0	2.504496767	4
ENSG00000260032	5.762816167	4.9795012	5.177874	7.001838	3.632324	3
ENSG00000131043	4.042674667	3.070478	3.590222	0.52782845	1.537558067	5
ENSG00000080845	2.505898033	2.805259	2.7359653	1.2802404	1.718102067	4
ENSG00000118707	3.615431633	2.0922246	2.8055959	2.6944296	1.598985433	2
ENSG00000259399	4.557296267	2.6275566	3.9257653	3.155049	3.498834533	1
ENSG00000101084	3.5940129	1.8296577	3.18578	3.5558171	3.875411133	6
ENSG00000101082	5.2066998	4.5313277	4.608556	1.3843831	2.8912518	5
ENSG00000101079	3.525776367	0.80475014	2.8906822	3.5486286	2.484671733	1
ENSG00000149639	3.033561733	1.833753	1.5519193	0.9843591	0.380587367	2
ENSG00000101347	1.421942867	1.9083573	3.13687	5.5242567	3.913348567	6
ENSG00000080839	2.2215664	0	1.1979573	3.5190518	0.7459518	7
ENSG00000118705	5.6456027	3.3732831	4.2654114	4.959214	2.888605333	1
ENSG00000101363	2.835318333	2.2615697	2.482109	1.532422	1.5527605	5
ENSG00000197122	2.868895933	2.1900795	2.0851457	0	1.595471567	5
ENSG00000166619	2.768202	1.8913324	2.4523146	2.6274252	1.452775567	3
ENSG00000132792	3.254094467	1.0941695	1.5954738	3.0951066	1.371535733	1
ENSG00000101407	2.603091567	0.54652643	0.40685272	1.9810548	0.736379467	1
ENSG00000101413	2.3774617	1.500964	2.6233556	3.1631107	1.321850667	3
ENSG00000196756	3.2014459	1.17174	1.4987928	2.1615133	0.2065663	2
ENSG00000170471	2.5528071	0	1.5929503	3.9866061	1.233249367	7
ENSG00000101442	2.6505695	1.4430345	2.973013	0.6802565	0.160975577	5
ENSG00000101445	4.1666363	3.8195007	4.240582	1.9122814	1.579070233	5
ENSG00000101452	2.0342252	0.31843647	1.9787389	2.1659942	0	3
ENSG00000204103	1.886341167	3.845707	4.78728	1.8741738	3.2345642	4
ENSG00000198900	3.597339267	0.99265057	1.9299793	5.504288	2.1222529	7
ENSG00000124181	5.0498783	5.2733426	5.6649914	1.8205713	1.352596667	4
ENSG00000174306	1.666327067	0	0.13579288	0.4482179	0	1
ENSG00000124177	2.792068467	0.58162445	1.7631592	3.045241	0.380397937	3
ENSG00000124193	6.1750207	3.964393	4.772827	5.121855	2.7923989	2
ENSG00000185513	0.785734247	1.7587687	1.6282756	0.565645	0	4
ENSG00000101057	5.762918433	0.63716733	1.3521769	4.151057	0.619257247	1
ENSG00000124191	0.726333988	0	0.11245398	0	0	2
ENSG00000132823	3.302693	1.092111	3.2523355	4.7314157	3.2526281	7
ENSG00000223891	1.204831967	1.6053989	2.116164	1.4752271	1.466311833	4
ENSG00000124120	1.9875978	0.06657407	1.0716789	4.450793	1.189597133	7
ENSG00000132824	4.431347233	2.3039238	3.4876947	6.175879	3.429971567	7
ENSG00000168734	3.3846502	2.4845347	3.1085808	0.41184998	0.980400333	5
ENSG00000196839	7.2345386	5.4581795	5.799829	0.81661034	1.346516	5
ENSG00000166913	4.9110331	2.0031075	3.1581774	5.6948214	3.427319	7
ENSG00000101104	2.269149667	2.9756331	3.4660916	2.4708598	0.565171487	4
ENSG00000025772	3.0835364	1.3353902	1.7211264	0.4684898	0.724800113	5
ENSG00000101109	3.667995067	0.9750637	2.826857	6.2427363	3.6228008	6
ENSG00000204070	1.8481161	0.50962305	1.7041914	2.2160242	1.7476689	7
ENSG00000124155	4.978678767	4.0478325	4.7075443	4.5411654	3.011203	2
ENSG00000101457	3.421129833	2.3512037	3.0215077	4.1320605	3.126749033	7
