	Prognosis	A_I_phase_1	A_I_phase_2	A_R1_phase	Maintenance therapy	protein_cluster
ENSG00000227232	3.7475962	4.299565	4.30652	4.4492354	1.749638767	3
ENSG00000233750	1.512229233	1.6862193	1.5648879	1.2893457	1.409696533	4
ENSG00000241860	3.0393071	1.4766936	2.5298629	6.6219854	3.539970133	6
ENSG00000279457	2.1951778	2.5207376	2.549457	1.6472611	0.7968357	4
ENSG00000237094	0.34789737	0.2521698	0.6608293	3.8891826	1.245566333	6
ENSG00000225972	9.136049633	7.317403	8.16979	10.965956	4.923283333	3
ENSG00000225630	10.18061867	8.120182	9.161811	11.710535	5.239987667	3
ENSG00000237973	12.025224	10.704901	10.994584	12.578189	7.502364667	3
ENSG00000229344	9.760469	8.589881	9.121251	10.938511	5.340018533	3
ENSG00000240409	9.3370255	6.0284557	7.2813587	11.339031	4.538931333	3
ENSG00000248527	10.457414	8.29026	9.249245	11.993996	5.193335567	3
ENSG00000198744	9.8697405	9.322377	9.526372	11.171648	5.987489667	3
ENSG00000228327	2.3206135	2.9951837	3.5278862	4.3775177	2.4421395	6
ENSG00000228794	0.97700045	0	0	0.8906252	0	1
ENSG00000188976	4.673738833	3.9859736	3.775559	2.771468	1.586352267	5
ENSG00000187608	5.837435767	5.5072503	4.7752113	1.1073736	3.227969	5
ENSG00000188157	1.0435168	0.16241238	0	0	0	2
ENSG00000131591	0.840793273	0.6942007	0.67628545	0	0	5
ENSG00000078808	4.374620433	3.9463336	4.4662504	3.3348637	2.758702667	5
ENSG00000176022	4.144787833	2.8803048	3.2494304	1.5165687	1.0607248	5
ENSG00000160087	3.337202767	3.3101375	3.3585079	1.171909	1.839410367	4
ENSG00000131584	2.5838464	3.2101574	2.8328586	0.4342603	0.138115557	4
ENSG00000169972	1.817734	1.598453	1.0941851	0.2568171	0.642701687	5
ENSG00000127054	3.978227767	3.678611	3.6695077	1.8115971	1.5042568	5
ENSG00000224051	3.389393	5.149508	4.3903913	0.96409386	2.1047601	4
ENSG00000107404	3.145555033	3.2027571	3.188219	0.07855445	0.7834553	4
ENSG00000221978	3.313802067	4.099652	4.3974333	3.68397	1.277864133	4
ENSG00000224870	3.278438333	3.1905556	2.882982	1.1463288	1.347378567	5
ENSG00000242485	3.6952418	3.161971	3.676675	3.276151	1.6060785	2
ENSG00000272455	2.9926202	2.247797	2.3986442	3.39062	1.2441443	3
ENSG00000160072	2.698015767	3.4383056	2.9142904	0.9312528	0	4
ENSG00000160075	4.188102033	2.7813416	3.8592002	3.7197957	2.553364667	3
ENSG00000272106	2.531483567	2.8647506	2.7997518	0	0.9258264	4
ENSG00000197530	3.026790767	3.8789432	3.4734688	0.81781876	0.697771833	4
ENSG00000248333	2.7554593	2.181437	2.6915503	3.1433742	1.900120867	3
ENSG00000189339	4.693844533	4.277102	4.3556256	2.677224	2.147689	5
ENSG00000008128	0.33283231	1.8298078	2.0251572	1.4927988	0.6654344	4
ENSG00000268575	2.496496833	2.9831016	3.530027	2.9164534	1.105146767	4
ENSG00000215790	2.315692767	3.9556978	4.068226	0.15882815	0.225831967	4
ENSG00000008130	3.425397067	2.8410993	3.4558113	5.093697	4.170457	6
ENSG00000078369	6.3563057	4.5549026	5.310982	5.757462	4.1740314	1
ENSG00000162585	2.629279267	2.854444	2.5374835	0	0.559843633	4
ENSG00000157933	3.4582441	4.1777205	4.5844703	2.9202883	2.514395467	4
ENSG00000116151	0.242831517	0.27314007	0.71345395	0	0	4
ENSG00000157916	3.5323829	2.1784873	2.785356	3.2282257	1.982274533	1
ENSG00000157911	2.405886333	1.5404978	1.2666131	0	0	5
ENSG00000149527	0.222409423	2.3577342	1.9793367	0	0	4
ENSG00000157881	2.096752667	2.4494307	2.9280658	1.7047356	1.225564067	4
ENSG00000238164	0.46170318	1.9978765	1.7957746	2.5018094	1.020662167	6
ENSG00000157873	3.202108767	4.2855067	4.035986	1.7913408	2.507234267	4
ENSG00000157870	3.9798031	4.001201	3.00126	0	1.074898533	5
ENSG00000162591	1.597076087	3.0347276	2.0334754	0.48411226	0.486862467	4
ENSG00000158109	3.705774933	2.527266	3.6308763	3.189322	3.484261333	1
ENSG00000116213	1.070542867	0.80194575	1.0426204	2.3225243	0.491603133	7
ENSG00000130764	4.271468733	2.889425	3.3850875	2.895644	1.770935833	2
ENSG00000116198	2.4435048	0.7966585	1.4277171	2.1211119	0.507708883	1
ENSG00000169598	1.877072033	0.8286477	1.063891	1.1504153	0.113631326	2
ENSG00000198912	2.275431467	0.7472689	1.6408412	1.0542704	0.44184334	2
ENSG00000131697	1.210120333	0.95924646	0.5848413	0	0	5
ENSG00000069424	5.321053633	4.1773024	3.667863	4.1750603	2.9635884	2
ENSG00000116251	4.662573667	1.2848735	2.6981237	5.137403	1.9339551	1
ENSG00000116237	3.144388267	0	1.0035378	2.2626567	0.820308133	1
ENSG00000097021	3.692911033	0.93864924	0.4398858	0	0.495934633	2
ENSG00000162408	3.467315567	2.2650146	3.2008195	2.4046452	0.930153467	2
ENSG00000204859	2.757087567	3.0228093	2.9781547	2.74484	2.020281	4
ENSG00000162413	2.780845867	2.9138741	3.1502664	1.3273203	2.282985033	4
ENSG00000116273	2.0965879	0.68155855	0.84820515	1.1072412	1.6451372	1
ENSG00000041988	2.423422267	1.5313041	1.6257129	0	0.29383559	5
ENSG00000007923	2.7254266	0.9496772	1.7242423	1.4050786	0.303961537	2
ENSG00000171735	1.0347214	0	0.2918904	0.21413663	0.1156284	2
ENSG00000116288	4.728839567	2.009536	2.874732	3.5848227	2.385110933	1
ENSG00000142599	2.351099533	2.0223484	2.548486	3.9592001	2.191570533	6
ENSG00000074800	8.249702667	5.224494	5.955299	6.0004783	4.512098667	2
ENSG00000049239	4.9248786	3.7948503	3.9584475	3.4296823	2.344479933	2
ENSG00000171608	3.6092601	3.6183803	4.0372295	5.044956	4.0821019	6
ENSG00000171603	5.461800567	4.0278025	4.661817	3.6566608	2.532603867	2
ENSG00000178585	3.827477	2.815427	3.1340668	0.73193085	1.229594	5
ENSG00000130939	3.051175433	1.7984552	2.260107	3.3719397	1.939638867	1
ENSG00000054523	0.79437215	0	0	4.3597975	1.547364733	6
ENSG00000142657	6.2520167	3.7298667	4.4431734	7.6978755	4.972883	7
ENSG00000160049	3.403773433	1.2402582	1.8696557	1.410012	0.40452391	2
ENSG00000142655	3.223563133	2.5588675	2.6360455	1.2082758	0.955991867	5
ENSG00000130940	0.583652761	0.5620202	1.2119702	0.666171	0.07747301	4
ENSG00000272078	0	0	0.05557835	0	0	4
ENSG00000120948	3.423435067	0.14073119	1.9973532	4.054188	1.129390667	1
ENSG00000116649	5.133479833	3.766022	3.4573462	1.4028349	1.438718767	5
ENSG00000171824	3.289909167	1.4760998	2.8149931	3.425756	1.1753909	3
ENSG00000198793	3.485587767	2.3225691	3.0621185	2.8255274	1.2207961	2
ENSG00000120942	2.734808533	2.0570548	2.799131	1.5851545	0.880073933	2
ENSG00000116663	1.797872367	1.4545916	1.7154692	1.3284386	2.2162532	5
ENSG00000116670	4.999985533	3.5775318	3.3714325	1.2065531	1.801320667	5
ENSG00000177674	2.485562	3.5300767	3.672129	2.703846	3.791053133	4
ENSG00000177000	2.4707386	2.737588	2.7882533	1.38881	1.547125267	4
ENSG00000011021	1.7663133	1.4826217	1.8524774	1.4289396	0.146621667	2
ENSG00000199347	6.3860449	5.0077777	7.301657	8.056055	3.7771901	3
ENSG00000116685	3.883347867	4.0707073	3.8600655	2.0869272	3.206960333	4
ENSG00000083444	0.569315883	0.7821009	1.5036727	1.832375	2.467291533	6
ENSG00000116688	4.502492667	2.9537838	3.484553	4.911287	3.489639333	7
ENSG00000116691	3.523948467	3.8252952	3.5210273	1.9349887	2.45612	4
ENSG00000028137	3.231220167	4.143081	5.4069767	4.8871236	4.947954833	6
ENSG00000048707	2.755997467	1.5338497	3.171119	3.7238371	1.3502758	3
ENSG00000116731	2.821957867	0.4796003	2.4555466	4.8470287	2.2204771	7
ENSG00000142634	5.526781333	5.818663	6.8298173	6.4426107	5.475939	3
ENSG00000197312	1.295860153	0	0.9166933	3.3657525	0.41541162	7
ENSG00000116786	4.9980247	5.005406	4.956388	2.9041538	2.941101267	5
ENSG00000178715	5.7696119	4.4850826	4.9899316	2.1097083	2.629751067	5
ENSG00000065526	3.680916433	2.2001467	2.6869783	4.718971	1.934284867	7
ENSG00000116809	3.440821333	3.615667	3.1932907	2.275844	1.627356433	5
ENSG00000037637	2.5491773	1.6064761	1.9374614	2.504104	1.210188733	3
ENSG00000055070	5.837794467	4.791233	5.5298657	3.9780717	3.5654665	5
ENSG00000157191	3.559103333	3.3355434	3.9633996	2.6068683	2.406832767	4
ENSG00000080947	1.025534723	2.8789406	2.7607274	0	0	4
ENSG00000219481	2.229185833	0.93425906	1.1333848	2.2322333	0	3
ENSG00000215908	2.1308313	3.0692422	2.7080932	1.287589	0.007249867	4
ENSG00000058453	2.6580405	3.2592142	3.261789	0.7617801	0	4
ENSG00000159363	3.6172898	3.1343257	2.9903355	1.0433193	1.297612133	5
ENSG00000117118	4.2114582	1.7370127	3.0297344	2.1845045	3.001125533	1
ENSG00000117115	0.679088773	0.96338004	2.5337596	5.117075	4.077243667	6
ENSG00000159339	2.820040667	0.7454062	1.9785014	7.533404	3.735344667	6
ENSG00000179051	6.727399933	4.273494	4.5591793	5.565537	2.620069733	2
ENSG00000255275	0.14416339	0	0	0	0	2
ENSG00000169991	1.802301667	0.39116478	1.6552013	1.5664172	1.4056078	1
ENSG00000127481	4.5157592	3.588381	4.2831755	4.4628916	2.349583767	3
ENSG00000127463	2.7390244	0.8927045	1.1265731	2.226126	0.769779367	1
ENSG00000053372	4.0064592	1.3762888	2.1085641	2.052215	0.8782665	2
ENSG00000053371	4.7042512	3.780098	3.3367512	1.7348807	1.763693	5
ENSG00000040487	0.81640044	0.9945227	1.0672649	1.3702788	0.998826633	6
ENSG00000077549	5.854838667	4.9032063	5.672495	6.093436	4.532560167	3
ENSG00000162542	1.930756367	1.5550114	1.1674598	1.3780745	0.603850007	2
ENSG00000090432	3.750865767	2.4788148	3.2996955	2.024895	2.317147967	5
ENSG00000158825	2.526200967	2.6835468	3.6195595	6.7718716	4.692696867	6
ENSG00000158828	2.314590067	1.6594596	1.8889364	3.3474834	3.023864333	6
ENSG00000244038	5.648678067	4.7026668	4.8917093	4.2338905	2.869228333	2
ENSG00000127483	5.199828133	2.5583146	3.71634	5.835124	2.573591067	1
ENSG00000075151	1.997736067	0	1.0321091	4.102104	1.7043562	7
ENSG00000117298	3.911015833	3.9020653	4.6001034	3.915141	4.059024333	4
ENSG00000162551	1.537951067	3.7748945	5.1401777	3.7795658	5.646128333	6
ENSG00000090686	1.943416	0	1.6978935	4.784675	0.975719833	7
ENSG00000218510	2.0580269	1.041743	2.2318435	0.62137246	0.555082633	5
ENSG00000070831	6.7095751	4.492893	6.613005	6.733093	5.138198333	3
ENSG00000184677	2.313381567	1.4599444	1.8258632	2.581326	0.240430797	3
ENSG00000004487	4.9024568	2.465802	3.0388005	3.2227702	1.069003633	2
ENSG00000169641	2.284696	0	0	1.9340693	0.49019611	1
ENSG00000125944	4.283134933	1.4426323	2.6956277	5.3040013	1.497557567	7
ENSG00000007968	4.2331141	5.560277	5.544556	2.7781734	2.463131767	4
ENSG00000142676	6.944418333	3.5108368	4.978879	7.0735316	3.7055188	1
ENSG00000011007	3.109201567	1.3802394	1.9198728	3.547008	1.502723333	1
ENSG00000057757	4.457382167	2.5611775	3.384919	3.6074889	3.1705959	1
ENSG00000011009	4.8035143	4.6459293	4.3197775	2.9381132	3.086661867	5
ENSG00000117308	1.592530733	1.174267	0.9568468	0.17569558	0.519579047	5
ENSG00000117305	1.8825411	0.57938594	1.6789548	1.0806618	0.596992657	2
ENSG00000179163	1.2731613	2.1910412	2.2194736	2.1131833	1.733141133	4
ENSG00000188822	2.0557709	4.322681	4.71518	0.48524645	0	4
ENSG00000189266	4.890012167	2.5484488	3.6968653	5.3757434	2.9257021	1
ENSG00000188529	3.440949367	0.3814759	2.210193	4.4593387	1.152901967	7
ENSG00000001461	1.311930467	0	0	2.1320903	0.47356411	7
ENSG00000117602	1.19783085	0	0.25943598	0.9867518	1.495484867	6
ENSG00000133226	4.500317667	2.626896	3.5280063	5.3563385	2.4991289	3
ENSG00000169504	1.622610887	0	1.0476879	2.8026428	1.6625312	6
ENSG00000020633	3.677737067	3.423407	4.8367076	3.612976	2.666932767	2
ENSG00000117616	3.402367433	4.483526	5.405546	4.8733163	3.015441	3
ENSG00000183726	4.306779367	2.7208064	3.7781522	4.7325163	3.838545867	7
ENSG00000162430	2.89985	3.205805	3.3866465	2.530111	2.2206262	4
ENSG00000117640	2.183927133	0.6212176	1.0911129	0.8738402	1.067833633	2
ENSG00000182749	0.823321467	0.59106207	0	1.1071248	0.466825555	7
ENSG00000158006	3.081836067	1.8280511	2.5308936	1.5644265	0.616461433	2
ENSG00000130695	3.3577269	1.5200343	1.9660414	3.0394979	0.709550967	1
ENSG00000142669	7.181264633	8.302569	8.552315	6.0999546	6.032578667	4
ENSG00000158062	3.537439333	4.1388903	4.2820954	3.5190349	2.728397133	4
ENSG00000169442	4.880158467	6.0749364	7.5774794	2.172515	4.350287533	4
ENSG00000117682	2.835179767	1.916073	2.7053263	3.7685354	1.320379	3
ENSG00000198830	7.061106467	3.729001	5.3535104	7.428564	3.500123567	1
ENSG00000117676	4.014133233	4.1022367	4.196294	4.37851	3.962893967	3
ENSG00000117713	4.983857933	4.145028	4.2315993	4.7560587	2.714263267	2
ENSG00000060642	2.5149082	1.7239331	1.8839942	1.1134269	1.1289388	5
ENSG00000204160	3.728604133	3.8951187	4.599138	3.6715064	4.137940267	4
ENSG00000142751	2.684647967	2.2513218	2.600093	1.1379628	0.842932567	5
ENSG00000198746	3.370507933	3.3593795	3.9305468	1.9378732	1.662059467	4
ENSG00000090273	4.322372633	2.9410236	3.431974	2.9189174	1.6914893	2
ENSG00000090020	2.540696633	2.6288316	2.818615	2.6305046	2.6711666	4
ENSG00000142784	5.081385467	4.5679755	4.618639	3.8636792	3.490191	5
ENSG00000186501	3.638918333	3.4715571	3.3072407	0.834736	1.754718467	5
ENSG00000142765	4.5331251	5.3717704	4.8828893	2.532457	2.312605633	4
ENSG00000142733	0	0	0	0	0.456086767	6
ENSG00000158195	6.62655	5.424723	6.0750213	5.968125	4.3007859	2
ENSG00000126705	3.365099667	3.1231463	3.1806903	0	0.491097427	5
ENSG00000000938	4.10924	4.4847918	5.2631364	6.3949213	5.1648341	6
ENSG00000126709	4.170479333	3.3536541	3.2798274	3.1185112	2.7435208	2
ENSG00000117751	3.6544323	1.3239125	2.4425304	3.0050766	1.722121733	1
ENSG00000130775	2.8978816	3.625637	4.5425825	5.506282	4.828449333	6
ENSG00000117748	3.9830737	1.4067578	1.4884773	4.3643155	2.617391733	7
ENSG00000158156	2.078278867	1.9229307	2.6692224	2.9280794	3.162646767	6
ENSG00000158161	1.6897317	0	0.5986047	3.033497	1.144326667	7
ENSG00000169403	0.951958433	1.4919077	3.288744	4.491296	4.487837767	6
ENSG00000126698	5.5902361	2.8768828	3.3576832	5.295425	3.039244767	1
ENSG00000130766	1.029891033	0.70093185	1.6972613	1.8183581	2.9416919	6
ENSG00000130772	1.871937133	1.3055615	1.6162412	0.26757282	1.4212297	5
ENSG00000204138	3.017203867	1.0890552	2.0384808	2.9652464	0.9635286	1
ENSG00000180198	4.899129533	2.6912732	3.1738086	2.509839	1.095156833	2
ENSG00000242125	5.319471	4.1145644	5.1686893	3.6165936	1.8526961	2
ENSG00000180098	2.236840967	0.6857522	1.3098311	1.7981567	0.636122733	1
ENSG00000197989	2.806196767	3.1394198	3.1355586	1.9731538	0.225772453	4
ENSG00000270103	7.295366533	6.6884093	8.670954	7.151875	4.1736304	2
ENSG00000162419	2.5338806	0.44258136	1.2383323	2.3639772	1.1627673	1
ENSG00000198492	4.3226499	2.086832	3.187891	3.0604005	2.017992167	2
ENSG00000159023	4.142137767	2.0586092	3.0327928	5.0085893	3.89255	7
ENSG00000116350	3.341559667	1.1547521	2.6403925	5.1820955	1.8325096	7
ENSG00000162511	6.526045233	5.04808	6.6197634	7.8217783	6.106145667	7
ENSG00000134644	4.5244945	3.2043297	3.9417005	4.58064	2.5960608	3
ENSG00000060688	3.8830165	0.8794074	2.2926867	2.2679198	1.3839692	1
ENSG00000162517	5.0127642	3.679769	4.056435	2.9999876	2.878939333	5
ENSG00000184007	7.265555	3.2790055	4.9975114	6.0019927	3.7510908	1
ENSG00000121774	6.5080748	4.1120768	5.041761	5.841342	3.187785633	1
ENSG00000121775	3.545543567	3.2221308	3.4225872	0.51912796	1.082097233	5
ENSG00000025800	4.045256833	1.8646132	3.1611183	3.5863667	2.102402933	1
ENSG00000084652	4.6622591	3.048432	3.086143	3.3295152	2.122257467	2
ENSG00000160050	2.904597233	2.3441758	2.8599758	2.1441379	0.695880977	2
ENSG00000160055	1.3113853	1.7533661	1.7392566	2.554618	1.4039235	6
ENSG00000084623	6.414648667	4.615514	4.859154	4.2764697	3.289052767	2
ENSG00000182866	7.941186567	7.514971	7.4458404	2.0120285	3.221116333	5
ENSG00000116478	5.2691937	2.898912	3.5633109	4.361272	2.5990048	1
ENSG00000175130	7.939326133	7.076658	7.221524	2.9424305	3.234309767	5
ENSG00000162526	1.574058817	1.611868	1.5414091	1.2985699	0.277314187	2
ENSG00000160058	3.994000067	3.0152495	4.0221596	3.9088552	2.260561467	3
ENSG00000162521	5.346939633	1.8906027	3.409594	4.4027762	1.9323121	1
ENSG00000134684	3.947637767	1.6828779	2.1901677	2.4683275	1.485427833	1
ENSG00000116497	2.085701067	0	0.7515001	3.3187156	0.818654933	7
ENSG00000116514	3.9621327	2.8460944	4.4019713	5.413649	4.328753433	6
ENSG00000004455	4.9999256	2.520926	2.6720986	4.476096	2.246107667	1
ENSG00000116525	2.357094833	2.5764587	2.7877784	0.7588777	1.365204433	4
ENSG00000160094	4.460783133	3.660926	3.7335591	2.6760902	2.1281102	5
ENSG00000134686	5.2573957	4.4705973	4.761558	3.9562998	4.1816118	5
ENSG00000163866	2.131025567	1.1762458	1.4058073	2.5703018	1.1386354	7
ENSG00000163867	0.203735053	0	0	2.3031957	0	6
ENSG00000116560	5.6489479	3.6487823	4.8335414	6.7826514	2.341691267	3
ENSG00000146463	3.381737433	0	1.5762094	3.9435055	1.029264267	1
ENSG00000142687	2.6059865	1.6439985	2.303864	3.2784102	1.764873733	7
ENSG00000020129	3.605717767	3.1866448	2.71139	0.4067785	0.732687117	5
ENSG00000126067	4.791265467	2.3957095	3.5330074	2.951596	1.926645033	2
ENSG00000134698	2.533787467	0	1.6870042	5.5790095	2.93286	6
ENSG00000092847	3.528413467	1.7995293	2.6268072	3.4696457	1.812289967	1
ENSG00000126070	1.570426833	0.10392327	1.1891075	3.1059422	0.506984233	7
ENSG00000116863	3.021405467	2.623389	2.371679	1.175564	1.3593491	5
ENSG00000054116	3.4680152	2.2329886	2.5846653	2.2954676	1.797794967	2
ENSG00000116871	5.1434404	4.9137187	5.1601777	3.5541592	3.7977209	5
ENSG00000054118	6.0987309	2.7759771	3.517507	6.1524415	3.5052872	1
ENSG00000214193	0	0	0.058406826	0.6846994	0.208024183	6
ENSG00000196182	3.9531158	3.2718515	3.768472	3.5628204	3.7300661	1
ENSG00000116898	3.5130399	0.3695779	1.6126047	1.6895626	1.244353667	1
ENSG00000119535	2.925837033	4.653895	5.585106	6.761653	5.666190333	6
ENSG00000163874	3.3899831	5.0250244	5.7469406	1.7203839	3.129046267	4
ENSG00000163875	4.187970333	1.5006148	3.08024	3.1187017	2.0062984	1
ENSG00000163877	1.39565108	1.0106193	1.6163086	2.1603808	0.8573544	3
ENSG00000134697	1.225978913	0	0.36560053	2.395788	0.218376333	7
ENSG00000196449	2.482445367	1.2616857	1.8289514	0.28588107	1.194234133	5
ENSG00000188786	1.4235932	0	0.4955046	4.3280616	2.271101167	6
ENSG00000204084	2.166966433	0	0.7223779	2.6740825	0.431907923	1
ENSG00000183431	3.8725039	0.6028205	1.3981992	4.489572	1.5973796	7
ENSG00000183386	1.01223118	1.6432449	2.250052	3.167889	2.7193688	6
ENSG00000214114	1.662835967	0	0	3.740758	1.585838667	6
ENSG00000174574	3.551844733	2.182562	3.390476	4.550214	3.344984867	7
ENSG00000168653	4.5453452	2.9130495	4.4328294	3.4722085	2.095484833	2
ENSG00000127603	3.657287933	2.1173115	3.3505852	4.6257815	1.636089	3
ENSG00000090621	4.165539467	1.3516692	2.3535001	4.4379063	1.767795867	1
ENSG00000084072	1.4190126	0	0	0.22109587	0.008284522	2
ENSG00000043514	1.939151133	1.0248295	2.1235132	1.5541505	0.1709874	2
ENSG00000131236	5.823235833	3.718688	4.8332677	7.263658	5.441914567	7
ENSG00000131238	4.810977733	1.6653852	3.779392	5.363746	4.51055	7
ENSG00000117000	2.028545367	0.010533057	2.0823178	3.9330113	1.076759533	7
ENSG00000084073	1.392615733	0	0.81182396	3.5524032	1.760172467	6
ENSG00000084070	5.633997767	5.148282	5.823151	6.419761	5.1947	7
ENSG00000272145	1.211956117	2.2496574	2.007427	1.7258943	0.8401755	4
ENSG00000066136	3.044610667	1.5455797	2.579555	3.5231674	2.3171253	7
ENSG00000010803	3.5894722	1.9392039	1.915529	3.1735063	0.023271577	3
ENSG00000127124	3.235484533	1.6750252	2.386572	0.8867447	0.708374317	5
ENSG00000198815	3.6890535	1.1054423	3.289676	4.84154	2.133060367	7
ENSG00000127125	3.0760415	2.0773156	2.204688	2.717279	2.201271667	1
ENSG00000171960	4.1641752	1.0690367	3.5078375	3.340723	1.217809933	1
ENSG00000065978	6.4929635	2.7544322	4.344247	5.742107	3.444947767	1
ENSG00000117385	2.616484233	1.6247318	1.8965144	1.0346092	0.2546169	2
ENSG00000164010	1.0984142	0	0.23203659	3.3057432	0.8889373	6
ENSG00000164011	1.995998467	0.640841	1.1284502	1.575527	0.289512467	1
ENSG00000117394	3.942505333	4.817251	4.8579464	3.3733354	2.3640822	4
ENSG00000066322	3.190769833	2.023497	2.8119938	3.259846	2.8528448	7
ENSG00000198198	3.1890964	3.813842	3.7503107	2.7749572	1.183460067	4
ENSG00000142949	2.370861667	3.7379286	3.226864	0	0	4
ENSG00000066135	3.4656952	1.8837723	2.7138588	3.7120388	1.722396767	3
ENSG00000126091	2.32204	1.3768624	1.8597558	0.518158	0.447601047	5
ENSG00000117408	3.2540365	2.954665	2.7072582	0.23326859	1.0616848	5
ENSG00000132768	3.693313133	2.1405764	1.7475568	0.56306684	0.276157433	5
ENSG00000117410	3.771329533	3.876132	3.9749136	3.394167	3.5464231	4
ENSG00000178028	3.198352633	2.6499565	2.6927843	2.997348	0.8112969	2
ENSG00000117419	4.682429733	3.3681693	3.491661	1.9762142	1.134103867	5
ENSG00000187147	3.6492162	2.318812	2.7148614	2.3723054	1.275179433	2
ENSG00000126106	2.768704733	1.7131358	1.7300535	1.4291662	0.59115702	2
ENSG00000198520	5.3805492	5.302864	5.2148747	1.8570112	0.356692387	5
ENSG00000199377	6.260296067	5.4552197	7.611835	5.3800697	3.577966933	2
ENSG00000142937	8.691342333	5.451042	6.694159	5.9507685	4.188679233	2
ENSG00000173846	3.306878833	3.7205858	4.3804493	2.7266753	3.449596133	4
ENSG00000222009	0.188173967	0.2515035	0.69186157	0.6388905	1.489056267	6
ENSG00000126107	3.015465733	3.843104	3.4840178	2.516244	1.713080533	4
ENSG00000126088	4.360295533	3.6956208	3.3536117	3.3118184	1.8426825	2
ENSG00000132781	3.575498767	2.8994503	2.5257218	1.6719184	0.762867867	5
ENSG00000132773	3.4933756	1.9673703	2.764908	2.0999088	0.974946567	2
ENSG00000070759	2.8688403	1.4420117	2.1669295	3.2292597	2.003387133	7
ENSG00000117450	5.505589667	2.7521262	3.336259	2.6509066	2.293757033	2
ENSG00000117448	5.111305067	4.4467554	3.8954668	1.8851596	1.860521633	5
ENSG00000132780	3.435584533	0	0.034661796	4.6228075	0.629239267	7
ENSG00000159592	4.4566079	2.3500526	3.5821297	5.492898	2.663527867	7
ENSG00000159596	3.134899333	1.9621148	3.4290934	2.0045502	1.7678768	2
ENSG00000086015	2.280746667	0	0	2.2347457	0.209317433	1
ENSG00000085998	3.631128867	3.3131766	3.2933125	0.39947572	0.379441317	5
ENSG00000132128	3.976794333	2.7674804	2.5189607	2.7818422	0.858095733	2
ENSG00000173660	4.2355896	1.9699012	3.1235077	3.0700176	1.677539433	2
ENSG00000117481	1.847071833	0.72467214	1.6111147	0.91577935	0.082228023	2
ENSG00000079277	2.003790767	1.5461725	2.439038	3.006754	2.399913667	6
ENSG00000142961	1.538172567	1.5893599	1.8036954	1.4311599	2.076495	4
ENSG00000123472	2.703166567	0	0.18619828	1.587368	0.610409187	1
ENSG00000159658	4.505951833	3.3332853	3.6248589	4.6308775	2.8977224	3
ENSG00000123473	1.493705967	0	0.025442569	1.7819152	0.641978633	7
ENSG00000162368	3.979500667	0.43639335	2.6144335	4.98286	2.549141267	7
ENSG00000237424	3.612310433	2.8828688	2.945755	0	0.076126213	5
ENSG00000185104	3.413537533	0.55413973	2.100847	2.4832838	0.660310167	1
ENSG00000123080	4.4952676	1.3395425	2.1083817	3.0591269	0.568442283	1
ENSG00000123091	3.539471933	2.861731	3.6386135	3.358523	3.666799667	1
ENSG00000085832	3.643743733	0.345177	2.856049	4.9686866	2.5770892	7
ENSG00000117859	2.240758233	0.012810355	1.6381099	4.3394027	1.079984867	7
ENSG00000078618	4.033116767	1.1737429	2.9128535	5.293219	2.878177	7
ENSG00000117862	4.0051503	1.3855162	2.2604938	4.03834	2.706356367	1
ENSG00000198841	3.537129067	2.9912052	3.740761	1.2027447	1.5163482	5
ENSG00000134717	3.188778667	0	1.4068438	3.0040598	1.381507333	1
ENSG00000154222	2.741594467	3.3683786	3.3686233	2.3702798	1.585717367	4
ENSG00000134748	3.5902658	1.0712327	2.3658369	4.6810184	1.4965322	7
ENSG00000134744	2.350488733	0	1.9444088	4.6011734	0.422014587	7
ENSG00000116157	3.751261633	2.4066193	2.8718038	1.4587272	0.062348777	2
ENSG00000162378	1.571245687	0	0.19683352	2.3344395	1.248149633	7
ENSG00000116171	2.07068	0	0.61017483	3.1824708	0.614746033	7
ENSG00000157184	0.73193715	0	0	0.7511579	0.24532942	1
ENSG00000162384	2.8946919	0.48906493	1.5730575	2.2068882	0.8763015	1
ENSG00000162385	2.928170667	0	2.271052	4.5224705	1.431141733	7
ENSG00000058804	2.724310833	0	1.389165	3.4983523	0.375268857	7
ENSG00000058799	3.019809167	0.15695395	2.021008	2.7055826	2.893095667	1
ENSG00000116212	2.5556461	0.08899409	0.822732	1.5908532	0.350265983	1
ENSG00000116209	2.5059815	0	1.2657642	2.7958076	2.029469467	7
ENSG00000116221	5.544988267	4.1811743	4.3540826	3.365082	2.2556103	2
ENSG00000157216	5.036473233	4.137292	4.7349615	3.7501867	2.0792121	2
ENSG00000243725	1.273429133	0	0.2579555	0.5950685	0.00088667	1
ENSG00000116133	5.5313737	0.9185703	0.64299804	0	0.210501233	2
ENSG00000162402	2.986437933	0.48832253	2.5122972	4.933686	1.245038467	7
ENSG00000173406	2.160687367	0.9742375	2.20788	0	0	5
ENSG00000162600	2.962499167	0.6096062	2.4152896	3.633704	1.546287433	7
ENSG00000283445	0.910778217	0.08244307	1.0465375	2.8624432	0.056637387	7
ENSG00000177606	6.525155233	7.459795	8.273136	2.2485323	3.632826667	4
ENSG00000172456	0.049934355	0	0.7251965	0	0.015298815	4
ENSG00000162604	1.2650978	0.62896746	1.6546347	3.9240005	0.270175617	7
ENSG00000162607	3.516183533	0.02382016	1.1351806	4.754775	1.292303067	7
ENSG00000142856	1.206132533	0	0	1.9077535	0	7
