GeneID	Prognosis	Induction_phase1	Induction_phase2	Intensification_Start	Maintenance therapy
ENSG00000282278	1.9	1.49	1.63	0.79	1.03
ENSG00000047315	1.47	0.07	1.91	0	0
ENSG00000033178	1.8	0.38	1.22	1.06	0
ENSG00000138757	3.69	1.28	2.29	3.05	2.49
ENSG00000118816	4.2	2.85	2.68	3.3	4.41
ENSG00000251022	3.54	2.5	2.66	4.25	6.22
ENSG00000163312	5.61	4.89	4.5	4.05	8.27
ENSG00000138642	5.84	3.91	4.66	5.97	4.71
ENSG00000138785	0.44	0	0	0	0.62
ENSG00000164022	1.18	0.28	1.21	3.19	1.71
ENSG00000138802	4.12	3.18	3.79	4.19	4.11
ENSG00000174720	2.26	1.18	1.6	2.33	1.67
ENSG00000260404	3.22	1.29	1.97	3	0.88
ENSG00000145388	4.24	2.6	2.91	3.66	3.17
ENSG00000151470	1.42	0	2.29	1.67	0.73
ENSG00000273247	6.04	4.34	4.37	6.3	6.75
ENSG00000164168	2.22	0.71	0.78	1.74	1.22
ENSG00000109670	3.31	2.82	3.07	3.84	3.1
ENSG00000171566	5.52	4.61	3.53	4.13	8.51
ENSG00000109572	2.71	1.28	1.95	2.44	3.65
ENSG00000180104	5.78	3.93	4.12	5.26	4.92
ENSG00000164187	4.84	3.77	3.14	4.49	4.78
ENSG00000164327	2.32	2.01	1.5	2.23	3.07
ENSG00000113638	4.05	1.89	2.52	4.05	4.84
ENSG00000067248	4.1	2.2	2.56	4.15	4.65
ENSG00000113593	1.98	2.2	1.36	0.98	1.83
ENSG00000152942	1.73	1.6	1.19	2.06	1.19
ENSG00000145734	6.46	6.01	5.58	6.88	7.6
ENSG00000164331	2.06	1.22	1.8	2.44	0.98
ENSG00000164347	3.56	3.11	2.97	3.61	2.37
ENSG00000164252	1.43	1.55	1.49	1.46	0.96
ENSG00000152409	3.32	3.92	2.6	3.35	3.04
ENSG00000113369	4.74	2.3	2.73	3.31	3.57
ENSG00000164292	6.93	6.56	5.03	6.91	7.2
ENSG00000153922	2.84	2.21	2.51	3.05	3.18
ENSG00000113532	4.18	3.17	3.85	4.46	4.98
ENSG00000151422	4.76	2.5	2.81	4.63	4.29
ENSG00000113368	1.4	0	0.95	0.58	0
ENSG00000072364	1.53	1	0.83	1.56	0.34
ENSG00000170606	1.87	0.92	0.87	1.18	3.17
ENSG00000112855	0	2.54	3.11	3.44	0
ENSG00000113712	4.62	4.49	3.72	5.33	4.4
ENSG00000197043	3.12	3.94	2.93	2.23	3.06
ENSG00000164611	1.43	0.81	1.1	2.38	0.45
ENSG00000146083	0.4	1.2	0.65	3.64	1.09
ENSG00000169223	3.95	3.1	2.76	3.7	4.14
ENSG00000250903	2.16	1.87	0.77	2.8	2.87
ENSG00000112308	2.4	2.25	2.94	5.14	4.88
ENSG00000204623	4.1	3.39	3.79	3.66	4.38
ENSG00000234127	4.2	4.01	3.12	5.4	5.44
ENSG00000204560	4.32	0.13	0	3.25	3.48
ENSG00000204444	2.03	0.44	1.75	2.63	1.34
ENSG00000263020	1.2	0.72	0.42	0.51	2.34
ENSG00000198502	1.73	0.92	1.11	2.12	0
ENSG00000179344	3.18	1.81	1.96	2.46	1.91
ENSG00000231925	7.58	6.81	6.18	8.29	9.49
ENSG00000112511	3.9	1.56	2.61	3.55	3.65
ENSG00000124762	4.78	2.46	4.41	6.3	4.27
ENSG00000096401	2.82	1.64	1.75	2.2	1.86
ENSG00000118482	7.7	5.25	4.73	5.71	7.55
ENSG00000082269	4.64	3.29	3.64	4.95	5.45
ENSG00000112701	4.6	2.86	3.68	4.61	3.82
ENSG00000146247	1.98	1.1	2.17	2.09	0.69
ENSG00000188994	4.13	2.04	3.82	4.84	4.11
ENSG00000135341	2.09	0.57	1.56	1.95	1.55
ENSG00000014123	3.05	2.3	2.72	2.95	2.59
ENSG00000132424	3.93	1.81	2.77	3.61	2.8
ENSG00000057663	2.95	1.11	1.89	3.02	3.19
ENSG00000155085	4.96	2.95	3.77	4.6	4.74
ENSG00000009413	3.01	1.1	1.93	2.96	2
ENSG00000189241	4.49	2.32	3.71	3.51	3.69
ENSG00000029363	0.24	0	0	0	0.2
ENSG00000213066	6.35	4.33	4.87	6.16	6.85
ENSG00000106012	1.97	0.45	1.46	2.24	0.15
ENSG00000122674	7.04	4.61	4.49	5.44	8.09
ENSG00000008256	4.06	2.37	1.36	4.22	4.28
ENSG00000178397	3.41	2.97	2.61	3.81	2.87
ENSG00000136238	4.35	2.74	3.69	4.79	6.09
ENSG00000146576	4.28	3.01	3.07	4.67	3.72
ENSG00000164631	3.02	2.14	2.49	3.62	4.08
ENSG00000122591	2.17	1.22	1.45	2.48	1.5
ENSG00000233830	2.74	0.67	1.79	4.47	5.02
ENSG00000106105	5.03	5.33	3.26	4.39	5.26
ENSG00000122545	2.99	0.66	2.1	2.74	3.4
ENSG00000065883	2.34	2.37	1.98	2.63	1.32
ENSG00000106591	2.66	1.58	1.68	2.76	2.54
ENSG00000272556	4.12	1.49	1.34	2.42	2.1
ENSG00000106635	4.65	2.78	2.45	2.93	3.41
ENSG00000106682	2.27	1.19	1.12	0.63	1.63
ENSG00000174428	2.35	1.54	2.73	1.83	0.17
ENSG00000127914	7.68	7.66	7.78	7.19	6.25
ENSG00000004766	2.3	1.59	1.23	2.9	2.1
ENSG00000106258	3.89	2.6	3.4	4.06	3.57
ENSG00000106351	4.09	3.39	3.75	4.9	5.62
ENSG00000087087	2.9	2.38	1.93	2.33	2.92
ENSG00000106404	7.37	6.01	5.94	7.98	9.17
ENSG00000160991	4.07	3.71	3.16	4.18	4.03
ENSG00000128585	3.5	2.33	2.16	3.11	2.36
ENSG00000269955	4.62	2.96	3.38	3.99	4.74
ENSG00000197448	5.99	5.74	4.6	5.92	6.13
ENSG00000106479	5.59	4.51	4.52	5.57	5.07
ENSG00000106526	2.92	1.96	2.29	2.59	2.4
ENSG00000033100	3.62	2.09	2.61	3.83	3.55
ENSG00000106617	4.43	2.58	2.87	4.14	3.34
ENSG00000133627	2.16	0.87	0.85	1.84	0
ENSG00000155975	1.61	0	0.81	0.58	1.98
ENSG00000078674	5.84	3.67	3.99	5.36	5.31
ENSG00000147471	5.36	5.05	5.13	6.16	3.93
ENSG00000165046	4.53	3.33	3.85	4.62	4.02
ENSG00000070501	6.15	5.81	5.97	6.64	4.83
ENSG00000131931	0.88	0.54	1.52	0.87	1.01
ENSG00000120925	3.64	2.06	2.71	3.02	2.87
ENSG00000168522	4.48	4.26	3.36	4.35	4.06
ENSG00000169139	3.09	1.99	2.26	3.05	2.44
ENSG00000164751	1.96	2.74	2.42	2.47	1.09
ENSG00000164941	3.89	3.4	3.66	4.76	6.05
ENSG00000104375	4.84	3.52	3.34	4.2	4.65
ENSG00000164934	1.88	0.14	0.74	2.11	1.22
ENSG00000253103	3.66	2.35	2.77	4.24	3
ENSG00000064313	5.2	3.55	3.77	4.85	4.74
ENSG00000147684	1.79	0.88	0.52	1.52	2.5
ENSG00000104518	0.17	1.64	0.73	0.34	0.36
ENSG00000179698	4.8	5.64	5.18	4.61	4.41
ENSG00000185122	3.08	4.72	3.25	3.55	2.32
ENSG00000187954	2.92	2.23	2.51	2.85	2.56
ENSG00000235453	2.83	2.22	2.98	3.1	1.15
ENSG00000165280	4.19	2.99	2.88	4.12	3.83
ENSG00000281649	3.28	3.66	3.36	3.66	4.46
ENSG00000147905	2.72	2.56	2.88	3.56	2.7
ENSG00000147996	1.1	3.05	2.39	1.28	0.97
ENSG00000198000	3.04	2.36	2.53	2.95	1.84
ENSG00000175787	3.02	2.85	2.51	3.51	3.04
ENSG00000136870	4.69	3.19	4.03	5.11	4.35
ENSG00000136810	5.51	5.8	4.83	5.99	5.18
ENSG00000136875	0.28	0	0.15	0	0
ENSG00000136888	3.86	2.86	3.85	4.85	4.34
ENSG00000136940	3.2	3.2	2.4	3.31	3.16
ENSG00000160445	5.03	3.88	4.89	5.96	6.36
ENSG00000148331	3.04	1.73	2.85	3.26	3.57
ENSG00000148297	3.71	4.64	3.99	5.15	3.82
ENSG00000057608	1.62	1.92	2.09	2.63	0.58
ENSG00000229124	1.16	2.32	2.33	1.51	1.08
ENSG00000026025	2.25	2.52	3.81	3.62	0.65
ENSG00000241058	2.38	1.8	1.75	2.11	3.86
ENSG00000216937	2.04	2.41	2.89	3.52	1.1
ENSG00000204130	3.51	3.87	3.34	4.02	3.38
ENSG00000198954	2.84	2.26	3.72	3.88	4.42
ENSG00000197746	2.26	4.31	2.11	3.16	3.66
ENSG00000108179	3.62	3.24	4.22	5.05	4.07
ENSG00000225484	4.45	5.41	4.87	4.43	4.64
ENSG00000095564	2.56	4.76	4.52	3.76	2.4
ENSG00000198060	3.84	2.9	3.29	4.09	3.08
ENSG00000177853	1.08	1.87	0.88	1.55	0.8
ENSG00000108055	0.87	3.02	2.04	1.34	0.66
ENSG00000179988	6.62	5.61	5.36	7.08	7.84
ENSG00000019995	5.1	4.18	3.68	5.44	6.26
ENSG00000183020	1.8	3.98	2.49	2.15	2.48
ENSG00000110171	2.05	2.96	1.57	3.32	2.9
ENSG00000110321	6.02	5.46	5.6	6.58	6.45
ENSG00000110696	1.33	0.93	1.23	0.35	1.55
ENSG00000110756	3.4	2.73	2.67	3.63	3.89
ENSG00000110768	2.88	3.66	2.91	3.12	2.31
ENSG00000019485	1.81	1.65	2.38	2	1.66
ENSG00000025434	3.1	4.39	3.39	4.34	3.41
ENSG00000126432	3.36	3.32	3.52	3.86	3.28
ENSG00000014216	3.68	4.72	3.92	4.06	3.39
ENSG00000126391	6.27	5.48	5.18	5.81	6.25
ENSG00000251562	2.4	1.79	2.73	2	1.01
ENSG00000174903	2.08	1.37	0.72	1.67	2.39
ENSG00000110697	1.81	2.86	1.87	2.89	0.41
ENSG00000110075	3.83	2.73	4.39	4.08	2.95
ENSG00000137500	4.06	3.4	3.57	4.54	4.7
ENSG00000110172	3.12	2.43	3.52	2.76	1.7
ENSG00000168876	0	0	0	0	0
ENSG00000077458	3.32	3.06	3.28	4.03	2.4
ENSG00000110367	1.42	1.36	2.23	2.02	0
ENSG00000170322	2.8	2.65	2.71	3.19	1.71
ENSG00000151498	2.71	2.49	2.98	3.03	1.19
ENSG00000002016	4.44	3.36	4.69	4.37	4.38
ENSG00000151062	2.54	2.79	3.36	2.6	1.68
ENSG00000047621	3.54	3.21	3.85	3.83	2.01
ENSG00000269968	2.64	3.25	3.05	3.41	2.15
ENSG00000065970	1.84	2.3	1.79	2.35	1.62
ENSG00000256594	4.7	5.33	6.16	5.17	2.2
ENSG00000069493	7.12	9.02	6.85	6.52	6.5
ENSG00000111731	7.95	7.95	7.48	8.41	6.83
ENSG00000087502	2.5	3.06	3.79	3.5	3.15
ENSG00000079387	0	0.18	0.45	0	0
ENSG00000167528	3.34	2.89	3.49	3.39	2.5
ENSG00000167552	4.45	4.04	4.32	4.01	3.15
ENSG00000178449	3.04	3.27	3.56	3.58	1.12
ENSG00000123415	3.12	2.73	3.71	3.37	2.38
