GeneID	Prognosis	Induction_phase1	Induction_phase2	Intensification_Start	Maintenance therapy
ENSG00000267858	1.64	1.8	2.37	0.82	2.21
ENSG00000125898	7.7	5.86	5.13	6.21	7.49
ENSG00000125818	7.89	6.88	6.33	5.76	5.55
ENSG00000078814	7.96	5.73	3.93	3.81	7.07
ENSG00000101407	10.83	9.04	8.89	9.55	9.94
ENSG00000124191	7.63	6.09	6.27	6.67	6.86
ENSG00000124164	7.68	6.51	4.97	5.27	7.21
ENSG00000149658	7.6	6.57	5.91	7.06	7.98
ENSG00000101216	10.97	10.07	9.99	10.15	10.92
ENSG00000280213	8.93	8.91	7.61	7.28	8.8
ENSG00000155304	2.39	2.02	2.58	2.29	0.85
ENSG00000198862	5.37	4.28	4.39	5.38	5.42
ENSG00000156256	2.19	3.08	3.48	4.1	3.31
ENSG00000159147	4.52	4.2	4.07	5.13	3.99
ENSG00000215424	3.59	3.41	3.9	4.04	2.13
ENSG00000280007	3.1	3.67	3.36	2.99	3.09
ENSG00000070413	2.95	2.68	2.74	3.75	2.69
ENSG00000070010	2.63	2.06	2.93	3.2	1.58
ENSG00000099942	1.23	0	0.12	1.53	2.56
ENSG00000099995	1.15	1.44	1.79	2.41	2.52
ENSG00000185339	5.57	6.03	5.95	6.26	6.92
ENSG00000183963	3.38	4.05	3.17	3.4	3.57
ENSG00000100083	3.81	4.51	3.65	5.8	7.46
ENSG00000189060	3.23	3.6	2.99	3.96	4.11
ENSG00000100221	3.42	3.35	3.64	3.89	2.75
ENSG00000183741	5.09	4.65	4.96	6.03	5.47
ENSG00000128272	3.51	3.06	3.66	4.75	4.55
ENSG00000100417	3.33	3.5	2.82	5.04	3.22
ENSG00000100422	0.98	2.01	2.3	1.91	0.8
ENSG00000100258	5.66	5.34	5.61	6.51	6.08
ENSG00000254413	2.97	4.44	3.95	4.75	2.12
ENSG00000214717	1.66	1.17	1.02	1.86	1.26
ENSG00000173681	3.95	4.18	3.94	5.12	4.68
ENSG00000197779	2.64	2.2	2.47	2.56	3.51
ENSG00000049769	3.68	4.12	3.75	4.35	2.91
ENSG00000085224	3.84	4.55	4.36	4.37	2.73
ENSG00000158290	4.64	4.2	3.9	5.12	4.53
ENSG00000101972	4.14	2.8	3.68	4.65	3.92
ENSG00000165359	4.37	3.74	4.18	5	4.32
ENSG00000196924	3.66	4.11	3.86	3.87	2.84
ENSG00000277203	6.05	5.45	5.34	6.12	5.87
