entry	name	definition	c_number	r_number
M00117	Ubiquinone_biosynthesis_prokaryotes_chorismate_polyprenyl_PP_ubiquinol	K03181;K18240;K03179;K03182;K03186;K18800;K00568;K03185;K03183;K03184;K06134;K00568	C00251;C05848;C21860;C00390;C19858;C17552;C00156;C05847;C05807;C19859;C17551	R04985;R12657;R09737;R01302;R12658;R05000;R12067;R08768;R08769
M00118	Glutathione_biosynthesis_glutamate_glutathione	K11204;K11205;K01919;K21456;K01920	C00051;C00669;C00025	R00497;R00894
M00119	Pantothenate_biosynthesis_valine_L_aspartate_pantothenate	K00826;K00606;K00077;K01579;K01918;K13799	C00864;C00522;C00183;C00049;C00099;C00141;C00966	R02473;R01226;R01214;R00489;R02472
M00120	Coenzyme_A_biosynthesis_pantothenate_CoA	K00867;K03525;K01947;K09680;K01922;K21977;K01598;K13038;K02318;K00954;K02201;K00859	C00864;C00882;C01134;C04352;C00010;C03492	R03018;R04230;R03035;R04231;R03269;R00130
M00121	Heme_biosynthesis_plants_and_bacteria_glutamate_heme	K01885;K02492;K01845;K01698;K01749;K01719;K13542;K13543;K01599;K00228;K02495;K00230;K00231;K08973;K01772	C00430;C00931;C02987;C01024;C00025;C03741;C00032;C03263;C01079;C01051;C02191	R02272;R00036;R03197;R03222;R04109;R05578;R03220;R06895;R09489;R12605;R00084;R03165;R00310
M00122	Cobalamin_biosynthesis_cobyrinate_a_c_diamide_cobalamin	K00798;K19221;K02232;K02225;K02227;K02231;K00768;K02226;K22316;K02233	C06506;C06509;C06504;C04778;C06507;C05775;C00194;C06508;C06510;C03114	R05223;R05221;R05222;R06558;R05225;R07302;R04594;R06529;R12184;R04148
M00123	Biotin_biosynthesis_pimeloyl_ACP_CoA_biotin	K00652;K00833;K19563;K01935;K19562;K01012	C01037;C01092;C00120;C01909;C19845;C01063	R03210;R10124;R01078;R03182;R10699;R03231
M00124	Pyridoxal_P_biosynthesis_erythrose_4P_pyridoxal_P	K03472;K03473;K00831;K00097;K03474;K00275	C03393;C00279;C06055;C00627;C00018;C06054;C11638;C07335	R00278;R05085;R07406;R01825;R05681;R05838;R04210
M00125	Riboflavin_biosynthesis_plants_and_bacteria_GTP_riboflavin_FMN_FAD	K01497;K14652;K01498;K00082;K11752;K22912;K20860;K20861;K20862;K21063;K21064;K02858;K14652;K00794;K00793;K20884;K22949;K11753	C00255;C04732;C00044;C04332;C00016;C01304;C00061;C00199;C04454;C01268;C15556	R00066;R03458;R00549;R07281;R00161;R03459;R04457;R00425;R07280
M00126	Tetrahydrofolate_biosynthesis_GTP_THF	K01495;K09007;K22391;K01077;K01113;K08310;K19965;K13939;K13940;K01633;K00950;K00796;K01633;K13941;K11754;K20457;K00287;K13998	C04895;C05923;C00044;C06148;C05925;C04807;C05922;C01300;C04874;C00101;C00415;C00921	R05046;R03504;R02237;R00428;R04639;R04638;R04620;R03503;R03066;R03067;R00939;R05048;R04621;R00936
M00127	Thiamine_biosynthesis_prokaryotes_AIR_DXP_tyrosine_TMP_TPP	K03148;K03154;K03151;K03150;K03149;K03147;K00941;K00788;K14153;K21219;K00946	C11437;C00068;C15814;C01081;C20247;C04752;C15813;C03373;C00082;C15810;C20246;C04556;C15809	R04509;R10247;R03472;R07459;R10712;R10246;R09977;R00617;R07461
M00128	Ubiquinone_biosynthesis_eukaryotes_4_hydroxybenzoate_polyprenyl_PP_ubiquinol	K06125;K06126;K00591;K06127;K06134;K00591	C05848;C21860;C00390;C17559;C19858;C17552;C00156;C05847;C17554;C19859	R08770;R08771;R12657;R09737;R12658;R05000;R12067;R08772
M00129	Ascorbate_biosynthesis_animals_glucose_1P_ascorbate	K00963;K00012;K00699;K01195;K00002;K01053;K00103	C00072;C00800;C00029;C00167;C00191;C00103;C03033;C01040	R01481;R00286;R02933;R01383;R00289;R10053;R03184;R01478;R00647
M00130	Inositol_phosphate_metabolism_PI_PIP2_Ins_1_4_5_P3_Ins_1_3_4_5_P4	K00888;K19801;K13711;K00889;K13712;K01116;K05857;K05858;K05859;K05860;K05861;K00911	C04637;C01272;C01277;C01245;C01194	R03469;R03433;R03435;R03361
M00131	Inositol_phosphate_metabolism_Ins_1_3_4_5_P4_Ins_1_3_4_P3_myo_inositol	K01106;K01107;K01109;K01092	C00137;C01272;C01243;C04006;C04063	R03430;R01187;R03427;R04372
M00132	Inositol_phosphate_metabolism_Ins_1_3_4_P3_phytate	K00913;K01765;K00915;K10572	C01204;C01284;C01243;C04477	R03478;R05202;R03429
M00133	Polyamine_biosynthesis_arginine_agmatine_putrescine_spermidine	K01583;K01584;K01585;K02626;K01480;K01611;K00797	C00062;C00315;C01137;C00019;C00179;C00134	R01157;R01920;R00178;R00566
M00134	Polyamine_biosynthesis_arginine_ornithine_putrescine	K01476;K01581	C00077;C00062;C00134	R00551;R00670
M00135	GABA_biosynthesis_eukaryotes_putrescine_GABA	K00657;K00274;K00128;K14085;K00149	C00334;C02946;C02714;C05936;C00134	R01154;R04025;R05050;R01156;R01987
M00136	GABA_biosynthesis_prokaryotes_putrescine_GABA	K09470;K09471;K09472;K09473	C15767;C00334;C15699;C15700;C00134	R07417;R07414;R07415;R07418;R07419
M00137	Flavanone_biosynthesis_phenylalanine_naringenin	K10775;K00487;K01904;K00660;K01859	C00079;C00423;C00223;C00811;C06561;C00509	R00697;R01613;R01616;R02446;R02253
M00138	Flavonoid_biosynthesis_naringenin_pelargonidin	K00475;K13082;K05277	C00974;C05904;C03648;C00509	R03123;R04276;R02444
M00140	C1_unit_interconversion_prokaryotes	K00600;K01491;K00300;K01500;K01938	C00143;C00101;C00445;C00234	R00943;R01220;R00945;R01655
M00141	C1_unit_interconversion_eukaryotes	K00600;K00288;K13403;K13402	C00143;C00101;C00445;C00234	R01220;R00945;R00943;R01655;R01218
M00142	NADH_ubiquinone_oxidoreductase_mitochondria	K03878;K03879;K03880;K03881;K03882;K03883;K03884	C00399;C00390;C00080;C00004;C00003	R11945
M00143	NADH_dehydrogenase_ubiquinone_Fe_S_protein_flavoprotein_complex_mitochondria	K03934;K03935;K03936;K03937;K03938;K03939;K03940;K03941;K03942;K03943;K03944	C00399;C00390;C00080;C00004;C00003	R11945
M00144	NADH_quinone_oxidoreductase_prokaryotes	K00330;K00331;K00332;K00333;K00331;K13378;K13380;K00334;K00335;K00336;K00337;K00338;K00339;K00340;K00341;K00342;K00343	C00399;C00390;C00080;C00004;C00003	R11945
M00145	NAD_P_H_quinone_oxidoreductase_chloroplasts_and_cyanobacteria	K05574;K05582;K05581;K05579;K05572;K05580;K05578;K05576;K05577;K05575;K05573;K05583;K05584;K05585	C00399;C00390;C00080;C00004;C00003	R11945
M00146	NADH_dehydrogenase_ubiquinone_1_alpha_subcomplex	K03945;K03946;K03947;K03948;K03949;K03950;K03951;K03952;K03953;K03954;K03955;K03956;K11352;K11353	C00399;C00390;C00080;C00004;C00003	R11945
M00147	NADH_dehydrogenase_ubiquinone_1_beta_subcomplex	K03957;K03958;K03959;K03960;K03961;K03962;K03963;K03964;K03965;K03966;K11351;K03967;K03968	C00399;C00390;C00080;C00004;C00003	R11945
M00148	Succinate_dehydrogenase_ubiquinone	K00236;K00237;K25801;K00234;K00235	C00122;C00399;C00390;C00042	R13223
M00149	Succinate_dehydrogenase_prokaryotes	K00241;K00242;K18859;K18860;K00239;K00240	C15602;C00042;C00122;C15603	R02164
M00150	Fumarate_reductase_prokaryotes	K00244;K00245;K00246;K00247	C15602;C00042;C00122;C15603	R02164
M00151	Cytochrome_bc1_complex_respiratory_unit	K00412;K00413;K00410;K00411;K03886;K03887;K03888;K03890;K03891;K03889	C15602;C00125;C00126;C00080;C15603	R13224
M00152	Cytochrome_bc1_complex	K00411;K00412;K00413;K00414;K00415;K00416;K00417;K00418;K00419;K00420	C00399;C00390;C00125;C00126;C00080	R02161
M00154	Cytochrome_c_oxidase	K02257;K02262;K02256;K02261;K02263;K02264;K02265;K02266;K02267;K02268;K02270;K02271;K02272;K02273;K02258;K02259;K02260	C00125;C00126;C00080;C00007;C00001	R00081
M00155	Cytochrome_c_oxidase_prokaryotes	K02275;K02274;K02276;K15408;K02277;K27109	C00125;C00126;C00080;C00007;C00001	R00081
M00156	Cytochrome_c_oxidase_cbb3_type	K00404;K00405;K15862;K00407;K00406	C00125;C00126;C00080;C00007;C00001	R00081
M00157	F_type_ATPase_prokaryotes_and_chloroplasts	K02111;K02112;K02113;K02114;K02115;K02108;K02109;K02110	C00002;C00001;C00008;C00009	R00086
M00158	F_type_ATPase_eukaryotes	K02132;K02133;K02136;K02134;K02135;K02137;K02126;K02127;K02128;K02138;K02129;K01549;K02130;K02139;K02140;K02141;K02131;K02142;K02143;K02125	C00002;C00001;C00008;C00009	R00086
M00159	V_A_type_ATPase_prokaryotes	K02117;K02118;K02119;K02120;K02121;K02122;K02107;K02123;K02124	C00002;C00001;C00008;C00009	R00086
M00160	V_type_ATPase_eukaryotes	K02145;K02147;K02148;K02149;K02150;K02151;K02152;K02144;K02154;K03661;K02155;K02146;K02153;K03662	C00002;C00001;C00008;C00009	R00086
M00161	Photosystem_II	K02703;K02706;K02705;K02704;K02707;K02708	C02061;C00007;C16693;C00001	R09503
M00162	Cytochrome_b6f_complex	K02635;K02637;K02634;K02636;K02642;K02643;K03689;K02640	C03162;C02061;C03025;C16693	R03817
M00163	Photosystem_I	K02689;K02690;K02691;K02692;K02693;K02694	C03162;C00138;C03025;C00139	R09542
M00165	Reductive_pentose_phosphate_cycle_Calvin_cycle	K00855;K01601;K01602;K00927;K05298;K00150;K00134;K01803;K01623;K01624;K03841;K02446;K11532;K01086;K00615;K01100;K11532;K01086;K01807;K01808;K01783	C00447;C00236;C05382;C00279;C00011;C00197;C01182;C00231;C00118;C00354;C00085;C00199;C00111;C00117	R00762;R01641;R00024;R01529;R01512;R01061;R01829;R01063;R01068;R01845;R01523;R01056;R01015;R01067
M00168	CAM_Crassulacean_acid_metabolism_dark	K01595;K00025;K00026;K00024	C00036;C00074;C00149;C00011	R00345;R00342
M00169	CAM_Crassulacean_acid_metabolism_light	K00029;K01006	C00011;C00074;C00149;C00022	R00216;R00206
M00170	C4_dicarboxylic_acid_cycle_phosphoenolpyruvate_carboxykinase_type	K01595;K14454;K14455;K01610	C00036;C00074;C00049;C00011	R00345;R00355;R00341
M00171	C4_dicarboxylic_acid_cycle_NAD_malic_enzyme_type	K01595;K14454;K14455;K00025;K00026;K00028;K00814;K14272;K01006	C00036;C00074;C00022;C00011;C00049;C00041;C00149	R00342;R00206;R00345;R00355;R00258;R00214
M00172	C4_dicarboxylic_acid_cycle_NADP_malic_enzyme_type	K01595;K00051;K00029;K01006	C00036;C00074;C00022;C00011;C00149	R00345;R00216;R00343;R00206
M00173	Reductive_citrate_cycle_Arnon_Buchanan_cycle	K00169;K00170;K00171;K00172;K03737;K01007;K01006;K01595;K01959;K01960;K01958;K00024;K01676;K01679;K01677;K01678;K00239;K00240;K00241;K00242;K18556;K18557;K18558;K18559;K18560;K01902;K01903;K00174;K00175;K00177;K00176;K00031;K01681;K01682;K15230;K15231;K15232;K15233;K15234	C00036;C00074;C00022;C00042;C00026;C00122;C00158;C00091;C00417;C00149;C00566;C00024;C00311	R00344;R00342;R01196;R00206;R00405;R00345;R00402;R01082;R01197;R00267;R10866;R00354;R01325;R00352;R01900;R02164;R00199;R01322
M00174	Methane_oxidation_methanotroph_methane_formaldehyde	K10944;K10945;K10946;K16157;K16158;K16159;K16160;K16161;K16162;K14028;K14029;K23995	C00132;C00067;C01438	R01146;R09518;R01142
M00175	Nitrogen_fixation_nitrogen_ammonia	K02588;K02586;K02591;K00531;K22896;K22897;K22898;K22899	C00697;C00014	R12084;R05185
M00176	Assimilatory_sulfate_reduction_sulfate_H2S	K13811;K00958;K00860;K00955;K00957;K00956;K00957;K00860;K00390;K13811;K05907;K00380;K00381;K00392	C00053;C00094;C00059;C00283;C00224	R00529;R00859;R00509;R00858;R05717;R02021
M00307	Pyruvate_oxidation_pyruvate_acetyl_CoA	K00163;K00161;K00162;K00627;K00382;K13997;K00169;K00170;K00171;K00172;K00189;K03737	C00022;C00068;C15972;C05125;C15973;C16255;C00024	R00014;R01196;R02569;R00209;R07618;R03270
M00308	Semi_phosphorylative_Entner_Doudoroff_pathway_gluconate_glycerate_3P	K05308;K00874;K01625;K00134;K00927;K00131;K18978	C00236;C00022;C00257;C00197;C00118;C00204;C04442	R01541;R01058;R10860;R01512;R01061;R01538;R05605
M00309	Non_phosphorylative_Entner_Doudoroff_pathway_gluconate_galactonate_glycerate	K05308;K11395;K18127;K18020;K18021;K18022;K18128;K03738	C00577;C00022;C00257;C00880;C00258;C00204;C01216	R10615;R03033;R08571;R10324;R01538;R08570;R10616
M00338	Cysteine_biosynthesis_homocysteine_serine_cysteine	K01697;K10150;K01758	C00155;C00065;C02291;C00097	R01001;R01290
M00344	Formaldehyde_assimilation_xylulose_monophosphate_pathway	K17100;K00863;K01624;K03841	C00184;C00354;C00085;C00111;C00067	R00762;R01011;R01068;R01440
M00345	Formaldehyde_assimilation_ribulose_monophosphate_pathway	K08093;K13812;K08094;K13831;K00850;K16370;K21071;K01624	C00354;C00118;C00085;C00199;C06019;C00067	R00756;R05338;R05339;R01068
M00346	Formaldehyde_assimilation_serine_pathway	K00600;K00830;K00018;K11529;K01689;K01595;K00024;K08692;K14067;K08691	C00036;C00074;C04348;C00037;C00631;C00048;C00065;C00258;C00168;C00149	R00342;R01388;R00345;R00945;R00473;R00658;R00588;R01256;R08572
M00356	Methanogenesis_methanol_methane	K14080;K04480;K14081;K00399;K00401;K00402;K22480;K22481;K22482;K03388;K03389;K03390;K08264;K08265;K03388;K03389;K03390;K14127;K14126;K14128;K22516;K00125	C00132;C01438;C03920;C04832;C04628	R09098;R04540;R11928;R04541;R11931;R11943;R11944
M00357	Methanogenesis_acetate_methane	K00925;K00625;K01895;K00193;K00197;K00194;K00577;K00578;K00579;K00580;K00581;K00582;K00583;K00584;K00399;K00401;K00402;K22480;K22481;K22482;K03388;K03389;K03390;K08264;K08265;K03388;K03389;K03390;K14127;K14126;K14128;K22516;K00125	C04488;C01438;C03920;C00033;C04832;C00227;C03576;C04628;C00024	R00315;R00230;R04540;R04347;R04541;R11928;R11943;R11931;R09096;R11944;R00235
M00358	Coenzyme_M_biosynthesis	K08097;K05979;K05884;K13039;K06034	C00074;C00593;C05528;C11537;C11536;C03576	R05774;R07136;R05789;R09153;R07476
M00364	C10_C20_isoprenoid_biosynthesis_bacteria	K01823;K00795;K13789;K13787	C00448;C00129;C00235;C00353;C00341	R02061;R01123;R01658;R02003
M00365	C10_C20_isoprenoid_biosynthesis_archaea	K01823;K13787	C00448;C00129;C00235;C00353;C00341	R02061;R01123;R01658;R02003
M00366	C10_C20_isoprenoid_biosynthesis_plants	K01823;K14066;K00787;K13789	C00448;C00129;C00235;C00353;C00341	R02061;R01123;R01658;R02003
M00367	C10_C20_isoprenoid_biosynthesis_non_plant_eukaryotes	K01823;K00787;K00804	C00448;C00129;C00235;C00353;C00341	R02061;R01123;R01658;R02003
M00368	Ethylene_biosynthesis_methionine_ethylene	K00789;K01762;K20772;K05933	C00073;C06547;C00019;C01234	R00179;R00177;R07214
M00369	Cyanogenic_glycoside_biosynthesis_tyrosine_dhurrin	K13027;K13029;K13030	C05143;C03004;C00082;C03742;C04350;C15503	R04296;R00730;R04460;R05728;R07190
M00370	Glucosinolate_biosynthesis_tryptophan_glucobrassicin	K11812;K11813;K11818;K11819;K11820;K11821	C05837;C16518;C16516;C02937;C00078;C16517	R08170;R08164;R08167;R08168;R08160
M00371	Castasterone_biosynthesis_campesterol_castasterone	K09587;K12639;K09588;K09591;K12637;K12638;K20623;K09590;K12640;K25959	C15796;C15794;C01789;C15802;C15801;C15803;C15795;C15797;C15800	R07474;R07791;R07473;R07447;R07445;R07451;R07450;R07446
M00372	Abscisic_acid_biosynthesis_beta_carotene_abscisic_acid	K15746;K15747;K09838;K14594;K09840;K09841;K09842	C13431;C02094;C13455;C13433;C13453;C08614;C06082;C08591;C08579;C06098;C08606	R06950;R06947;R06948;R06946;R07559;R07558;R06953;R06954;R06949;R06952;R06957
M00373	Ethylmalonyl_pathway	K00626;K00023;K17865;K14446;K14447;K14448;K14449;K08691;K14451;K01965;K01966;K05606;K01847	C00332;C18324;C00100;C06027;C04348;C00048;C06028;C20238;C01213;C00149;C00091;C00877;C18026;C03561;C00024;C00683	R00833;R09291;R02765;R00934;R09979;R00238;R03027;R00473;R09292;R05076;R01859;R09293;R01977;R10612
M00374	Dicarboxylate_hydroxybutyrate_cycle	K00169;K00170;K00171;K00172;K01007;K01595;K00024;K01677;K01678;K00239;K00240;K00241;K18860;K01902;K01903;K15038;K15017;K14465;K14467;K18861;K25774;K14534;K15016;K00626	C00332;C00036;C11062;C00074;C00022;C00042;C00989;C01144;C00122;C00091;C00232;C00149;C00877;C00024	R00342;R01196;R00405;R01975;R00345;R01082;R00238;R09280;R09279;R09281;R02164;R03026;R00199;R10782
M00375	Hydroxypropionate_hydroxybutylate_cycle	K01964;K15037;K15036;K15017;K15039;K15018;K15019;K15020;K05606;K01848;K01849;K15038;K15017;K14465;K14466;K18861;K25774;K14534;K15016;K00626	C00332;C00100;C11062;C00083;C00894;C00989;C01013;C01144;C01213;C05668;C00091;C00222;C00232;C00877;C00024;C00683	R00740;R00742;R09289;R00833;R09286;R00919;R02765;R01975;R00238;R09280;R09279;R09281;R01859;R03045;R03026;R10782
M00376	3_Hydroxypropionate_bi_cycle	K02160;K01961;K01962;K01963;K14468;K14469;K15052;K05606;K01847;K01848;K01849;K14471;K14472;K00239;K00240;K00241;K01679;K08691;K14449;K14470;K09709	C04348;C00122;C00042;C00100;C18323;C00083;C00894;C05668;C00222;C01011;C00149;C01213;C00024;C00022;C06027;C01013;C00048;C06028;C00091;C00683	R00740;R00742;R09289;R00833;R09286;R00919;R02765;R01082;R00934;R00237;R00473;R05076;R01859;R09283;R02164;R09282;R03045;R00406
M00377	Reductive_acetyl_CoA_pathway_Wood_Ljungdahl_pathway	K00198;K05299;K15022;K22015;K25123;K25124;K01938;K01491;K01500;K00297;K25007;K25008;K15023;K14138;K00197;K00194	C00237;C00011;C00234;C00143;C00440;C00101;C00058;C00445;C00024	R07157;R02289;R01220;R00134;R00943;R08433;R12754;R10243;R01655;R07168
M00378	F420_biosynthesis_archaea	K11780;K11781;K14941;K11212;K12234	C04732;C19156;C19154;C21971;C00876;C19153;C19152;C19155	R09400;R09397;R12162;R09399;R12161;R09398
M00415	Fatty_acid_elongation_in_endoplasmic_reticulum	K10247;K10205;K10248;K10249;K10244;K10203;K10250;K15397;K10245;K10246;K10251;K10703;K10258		
M00416	Cytochrome_aa3_600_menaquinol_oxidase	K02827;K02826;K02828;K02829	C00001;C00007;C00828;C05819	R09492
M00417	Cytochrome_o_ubiquinol_oxidase	K02297;K02298;K02299;K02300	C00399;C00390;C00007;C00001	R11335
M00418	Toluene_degradation_anaerobic_toluene_benzoyl_CoA	K07540;K07543;K07544;K07545;K07546;K07547;K07548;K07549;K07550	C01455;C00512;C09818;C09819;C09817;C09820;C09816	R05575;R05588;R05598;R05599;R05584;R05587
M00419	Cymene_degradation_p_cymene_p_cumate	K10616;K18293;K10617;K10618	C06575;C06578;C06576;C06577	R05232;R05266;R05235
M00422	Acetyl_CoA_pathway_CO2_acetyl_CoA	K00192;K00195;K00193;K00197;K00194	C00024;C00237;C00011	R09096;R10219;R07157
M00432	Leucine_biosynthesis_2_oxoisovalerate_2_oxoisocaproate	K01649;K01702;K01703;K01704;K00052	C00233;C02504;C04411;C00141;C00024	R01652;R04001;R01213;R04426;R03968
M00433	Lysine_biosynthesis_2_oxoglutarate_2_oxoadipate	K01655;K17450;K01705;K16792;K16793;K05824	C05662;C00026;C01251;C04002;C00322;C00024	R00271;R01934;R04371;R09720;R03444
M00525	Lysine_biosynthesis_acetyl_DAP_pathway_aspartate_lysine	K00928;K00133;K01714;K00215;K05822;K00841;K05823;K01778;K01586	C05539;C00666;C03972;C00680;C03082;C00047;C00049;C04390;C20258;C00441	R02291;R00480;R04467;R04198;R02735;R10147;R00451;R04199;R04364;R02733
M00526	Lysine_biosynthesis_DAP_dehydrogenase_pathway_aspartate_lysine	K00928;K12524;K12525;K12526;K00133;K01714;K00215;K03340;K01586;K12526	C00680;C03972;C00047;C03082;C03871;C00049;C20258;C00441	R02291;R00480;R04198;R04336;R10147;R02755;R00451;R04199
M00527	Lysine_biosynthesis_DAP_aminotransferase_pathway_aspartate_lysine	K00928;K12524;K12525;K12526;K00133;K01714;K00215;K10206;K01778;K01586;K12526	C00680;C00666;C03972;C00047;C03082;C00049;C20258;C00441	R02291;R00480;R04198;R07613;R02735;R10147;R00451;R04199
M00528	Nitrification_ammonia_nitrite	K10944;K10945;K10946;K10535	C00192;C00014;C00088	R10164;R00148
M00529	Denitrification_nitrate_nitrogen	K00370;K00371;K00374;K02567;K02568;K00368;K15864;K04561;K02305;K00376	C00533;C00244;C00697;C00887;C00088	R00785;R03071;R00783;R00798;R02804;R00294
M00530	Dissimilatory_nitrate_reduction_nitrate_ammonia	K00370;K00371;K00374;K02567;K02568;K00362;K00363;K03385;K15876	C00014;C00088;C00244	R05712;R09497;R03071;R00787;R00798
M00531	Assimilatory_nitrate_reduction_nitrate_ammonia	K00367;K10534;K00372;K00360;K00366;K17877;K26139;K26138;K00361	C00014;C00088;C00244	R00790;R00796;R00791;R00789;R00787;R00798;R00794
M00532	Photorespiration	K01601;K01602;K19269;K11517;K03781;K14272;K00600;K00830;K15893;K15919;K15918;K00281;K00605;K00382;K02437	C00025;C00026;C00197;C00037;C01182;C00988;C00014;C00048;C00065;C00007;C00168;C00258;C00027;C00160	R01334;R01388;R00945;R01514;R01221;R00588;R00009;R03140;R00372;R00475
M00533	Homoprotocatechuate_degradation_homoprotocatechuate_2_oxohept_3_enedioate	K00455;K00151;K01826;K05921	C04052;C04642;C05600;C01161;C04186;C03063	R04379;R04418;R03303;R04380;R04134
M00534	Naphthalene_degradation_naphthalene_salicylate	K14579;K14580;K14578;K14581;K14582;K14583;K14584;K14585;K00152	C03012;C06202;C04314;C00829;C06204;C00805;C06203	R05137;R02941;R05136;R04115;R02968;R04117
M00535	Isoleucine_biosynthesis_pyruvate_2_oxobutanoate	K09011;K01703;K01704;K00052	C00022;C00109;C02226;C02612;C06032	R00994;R07399;R03898;R03896
M00537	Xylene_degradation_xylene_methylbenzoate	K15757;K15758;K00055;K00141	C07209;C07211;C06756;C07216;C07214;C06758;C07213;C07212;C01454;C07208;C07215;C06757	R05288;R05443;R05442;R05289;R05347;R05663;R05282;R05664;R05348
M00538	Toluene_degradation_toluene_benzoate	K15760;K15761;K15762;K15763;K15764;K15765;K00055;K00141	C01455;C00261;C00180;C00556	R02550;R01419;R01763
M00539	Cumate_degradation_p_cumate_2_oxopent_4_enoate_2_methylpropanoate	K10619;K16303;K16304;K18227;K10620;K10621;K10622;K10623	C00596;C06580;C06581;C06578;C06582;C02632;C06579	R05240;R05247;R05248;R05364;R05377
M00540	Benzoate_degradation_cyclohexanecarboxylic_acid_pimeloyl_CoA	K04116;K04117;K07534;K07535;K07536	C09822;C09811;C09812;C09823;C01063;C09813	R05619;R05592;R05600;R05582;R05620
M00541	Benzoyl_CoA_degradation_benzoyl_CoA_3_hydroxypimeloyl_CoA	K04112;K04113;K04114;K04115;K19515;K19516;K07537;K07538;K07539	C06322;C00512;C06749;C09821;C06714	R05594;R05581;R10961;R05597;R02451
M00543	Biphenyl_degradation_biphenyl_2_oxopent_4_enoate_benzoate	K08689;K15750;K18087;K18088;K08690;K00462;K10222	C06584;C06587;C06586;C06588;C02526;C06585;C02370;C01273;C00180;C06589;C00596	R03462;R05261;R05264;R02606;R05359;R05262;R05245;R05263;R05239;R05241
M00544	Carbazole_degradation_carbazole_2_oxopent_4_enoate_anthranilate	K15751;K15752;K15753;K15754;K15755;K15756	C08061;C08062;C00108;C08060;C00596	R05415;R05365;R09512;R05414
M00545	Trans_cinnamate_degradation_trans_cinnamate_acetyl_CoA	K05708;K05709;K05710;K00529;K05711;K05712;K05713;K05714;K02554;K01666;K04073	C03589;C00423;C12624;C12623;C12621;C12622;C00084;C00024;C00596	R06788;R06787;R00228;R06783;R06785;R06781;R00750;R06789;R02601
M00546	Purine_degradation_xanthine_urea	K00106;K00087;K13479;K13480;K13481;K13482;K11177;K11178;K13483;K00365;K16838;K16839;K22879;K13484;K07127;K13485;K16838;K16840;K01466;K16842;K01477	C11821;C00086;C02350;C00366;C00499;C00385;C12248	R02106;R02425;R06604;R06601;R09514;R02107;R02422;R02103
M00547	Benzene_toluene_degradation_benzene_catechol_toluene_3_methylcatechol	K03268;K16268;K18089;K18090;K16269	C01455;C02923;C04592;C01407;C04091;C00090	R00812;R04088;R03559;R03543
M00548	Benzene_degradation_benzene_catechol	K16249;K16243;K16244;K16242;K16245;K16246	C00090;C00146;C01407	R10042;R10043
M00549	Nucleotide_sugar_biosynthesis_glucose_UDP_glucose	K00844;K00845;K25026;K12407;K00886;K01835;K15779;K15778;K00963;K12447	C00267;C00103;C00668;C00029	R01786;R00289;R02189;R00959
M00550	Ascorbate_degradation_ascorbate_D_xylulose_5P	K02821;K02822;K03475;K03476;K03078;K03079;K03077	C00072;C14899;C16186;C01101;C03291;C00231	R07671;R03244;R07677;R07125;R05850
M00551	Benzoate_degradation_benzoate_catechol_methylbenzoate_methylcatechol	K05549;K05550;K05784;K05783	C06729;C07211;C06720;C02923;C06731;C01454;C06321;C00180;C07215;C06730;C00090	R05621;R05314;R05428;R05665;R05292;R05309;R05290;R00813
M00552	D_galactonate_degradation_De_Ley_Doudoroff_pathway_D_galactonate_glycerate_3P	K01684;K00883;K01631;K00134;K00927	C00236;C00197;C00118;C00880;C01286;C01216	R03387;R03033;R01061;R01512;R01064
M00554	Nucleotide_sugar_biosynthesis_galactose_UDP_galactose	K00849;K00965	C00052;C00446;C00984	R01092;R00955
M00555	Betaine_biosynthesis_choline_betaine	K17755;K00108;K11440;K00499;K00130;K14085	C00114;C00576;C00719	R07409;R01025;R01022;R08557;R02565;R08558;R02566;R08211
M00563	Methanogenesis_methylamine_dimethylamine_trimethylamine_methane	K14082;K16177;K16176;K16179;K16178;K14084;K14083;K00399;K00401;K00402;K22480;K22481;K22482;K03388;K03389;K03390;K08264;K08265;K03388;K03389;K03390;K14127;K14126;K14128;K22516;K00125	C00565;C01438;C00218;C03920;C00543;C04832;C04628	R09999;R09998;R04540;R09124;R11928;R04541;R11931;R11943;R11944
M00565	Trehalose_biosynthesis_D_glucose_1P_trehalose	K00975;K00703;K00700;K16149;K01214;K06044;K01236	C00718;C00498;C01935;C06400;C00369;C00103;C01083	R02110;R01824;R11261;R11256;R00948;R02421
M00567	Methanogenesis_CO2_methane	K00200;K00201;K00202;K00203;K11261;K00205;K11260;K00204;K00672;K01499;K00319;K13942;K00320;K00577;K00578;K00579;K00580;K00581;K00582;K00583;K00584;K00399;K00401;K00402;K22480;K22481;K22482;K03388;K03389;K03390;K08264;K08265;K03388;K03389;K03390;K14127;K14126;K14128;K22516;K00125	C04488;C00011;C01438;C04330;C03920;C01001;C04832;C01274;C03576;C04628;C04377	R03464;R03015;R04455;R04456;R04464;R03390;R04540;R04347;R04541;R11928;R11931;R11943;R11944
M00568	Catechol_ortho_cleavage_catechol_3_oxoadipate	K03381;K01856;K03464;K01055;K14727	C14610;C03586;C00846;C02480;C00090	R00817;R02991;R06989;R06990
