entry	name	definition	c_number	r_number
M00022	Shikimate_pathway_phosphoenolpyruvate_erythrose_4P_chorismate	K01626;K03856;K13853;K01735;K13829;K03785;K03786;K00014;K13832;K13830;K00891;K13829;K00800;K24018;K13830;K01736	C00074;C03175;C00279;C01269;C00251;C00944;C00493;C04691;C02637	R01714;R03084;R02413;R03460;R01826;R03083;R02412
M00023	Tryptophan_biosynthesis_chorismate_tryptophan	K01657;K01658;K13503;K13501;K01656;K00766;K13497;K01817;K24017;K01656;K01609;K13498;K13501;K01695;K01696;K06001;K01694	C00251;C00108;C00078;C01302;C03506;C04302	R00985;R02722;R03508;R00986;R03509;R01073
M00024	Phenylalanine_biosynthesis_chorismate_phenylpyruvate_phenylalanine	K01850;K04092;K14187;K04093;K04516;K06208;K06209;K01713;K04518;K05359;K14170;K00832;K00838	C00166;C00079;C00254;C00251	R01715;R00694;R01373
M00025	Tyrosine_biosynthesis_chorismate_HPP_tyrosine	K01850;K04092;K14170;K04093;K04516;K06208;K06209;K04517;K00211;K14187;K00832;K00838	C00082;C00254;C00251;C01179	R01728;R01715;R01730;R00734
M00026	Histidine_biosynthesis_PRPP_histidine	K00765;K02502;K01523;K01496;K11755;K14152;K01814;K24017;K02501;K02500;K01663;K01693;K00817;K04486;K05602;K18649;K01089;K00817;K00013;K14152	C00135;C04916;C04896;C01100;C01267;C02741;C02739;C04666;C01929;C00860;C00119	R03013;R04558;R03243;R04035;R04037;R03012;R04640;R03457;R01071;R01163
M00027	GABA_gamma_Aminobutyrate_shunt	K01580;K13524;K07250;K00823;K16871;K00135;K00139;K17761	C00232;C00334;C00042;C00025	R00261;R10178;R00713;R01648;R00714
M00028	Ornithine_biosynthesis_glutamate_ornithine	K00618;K00619;K14681;K14682;K00620;K22477;K22478;K00930;K22478;K00145;K12659;K00818;K00821;K01438;K14677;K00620	C00077;C00025;C01250;C04133;C00624;C00437	R00259;R00669;R02283;R03443;R02649;R02282
M00029	Urea_cycle	K01948;K00611;K01940;K01755;K14681;K01476	C00077;C00169;C00062;C00327;C03406;C00014;C00122;C00086;C00049	R01954;R01086;R00551;R01398;R00149
M00030	Lysine_biosynthesis_AAA_pathway_2_oxoglutarate_2_aminoadipate_lysine	K01655;K17450;K01705;K05824;K00838;K00143;K00293;K24034;K00290	C05662;C00026;C05560;C01251;C00047;C00956;C04002;C05535;C00449;C04076;C00322;C00024	R01939;R03098;R04390;R02315;R00271;R01934;R04371;R00715;R04863;R03444
M00031	Lysine_biosynthesis_mediated_by_LysW_2_aminoadipate_lysine	K05826;K05827;K05828;K05829;K05830;K05831	C00047;C00956;C19888;C19889;C19886;C19887	R09775;R09776;R09777;R09779;R09778
M00032	Lysine_degradation_lysine_saccharopine_acetoacetyl_CoA	K14157;K14085;K00825;K15791;K00658;K00382;K00252;K07514;K07515;K07511;K00022	C06157;C00332;C00047;C00956;C15972;C01144;C00449;C15973;C00527;C04076;C00877;C00322	R13167;R03026;R00716;R01975;R07618;R01933;R02313;R01940;R02488;R03102;R02571;R01939;R03103;R13166
M00033	Ectoine_biosynthesis_aspartate_ectoine	K00928;K00133;K00836;K06718;K06720	C06231;C03283;C03082;C06442;C00049;C00441	R06977;R02291;R00480;R06979;R06978
M00034	Methionine_salvage_pathway	K00789;K01611;K00797;K01243;K01244;K00899;K00772;K05810;K08963;K16054;K08964;K09880;K08965;K08966;K08967;K00815;K08969;K23977;K00832;K00838	C00073;C00170;C01180;C04188;C01137;C15651;C15606;C15650;C04582;C00019;C03089	R01401;R12507;R00177;R07395;R07394;R01402;R07392;R07396;R01920;R00178;R04143;R04420;R07393;R07364
M00035	Methionine_degradation	K00789;K00552;K00558;K17398;K17399;K01251;K01697;K10150	C00073;C00021;C00155;C00065;C00019;C02291	R00192;R00177;R01290;R04858;R00367
M00036	Leucine_degradation_leucine_acetoacetate_acetyl_CoA	K00826;K00166;K00167;K11381;K09699;K00382;K00253;K00249;K01968;K01969;K05607;K13766;K01640	C15975;C02939;C00164;C15972;C15973;C03231;C00356;C03069;C00233;C00123	R04138;R07601;R01090;R04097;R01360;R04095;R07602;R02085;R07618
M00037	Melatonin_biosynthesis_animals_tryptophan_serotonin_melatonin	K00502;K01593;K00669;K00543	C00643;C00978;C01598;C00078;C00780	R02701;R03130;R01814;R02911
M00038	Tryptophan_metabolism_tryptophan_kynurenine_2_aminomuconate	K00453;K00463;K01432;K14263;K07130;K00486;K01556;K00452;K03392;K10217;K23234	C02220;C03824;C00328;C02700;C00632;C00078;C03227;C04409	R02665;R00678;R03889;R01960;R04323;R01959;R02668
M00039	Monolignol_biosynthesis_phenylalanine_tyrosine_monolignol	K10775;K13064;K00487;K01904;K13065;K09754;K00588;K09753;K09755;K13066;K00083;K22395	C02947;C00590;C05610;C02325;C00079;C02666;C00423;C02646;C00223;C00811;C00082;C05608;C00323;C00406;C10434;C12204	R06572;R01615;R00697;R03918;R06576;R01942;R02193;R02593;R07437;R06582;R07433;R02416;R00737;R01616;R02253
M00040	Tyrosine_biosynthesis_chorismate_arogenate_tyrosine	K01850;K04092;K14170;K00832;K15849;K00220;K24018;K15227	C00826;C00082;C00254;C00251	R01715;R01731;R00732;R00733
M00042	Catecholamine_biosynthesis_tyrosine_dopamine_noradrenaline_adrenaline	K00505;K00501;K01593;K00503;K00553	C00355;C00082;C00788;C00547;C03758	R01815;R00731;R02080;R02533;R02535
M00043	Thyroid_hormone_biosynthesis_tyrosine_triiodothyronine_thyroxine	K00431	C01060;C02515;C02465;C00082;C01829	R03973;R03208;R03539;R03953
M00044	Tyrosine_degradation_tyrosine_homogentisate	K00815;K00838;K00832;K03334;K00457;K00451;K01800;K01555;K16171	C01036;C01179;C00164;C00122;C00544;C00082;C01061	R02521;R03181;R00734;R00729;R02519;R01364
M00045	Histidine_degradation_histidine_N_formiminoglutamate_glutamate	K01745;K01712;K01468;K01479;K00603;K13990;K05603;K01458	C00135;C00439;C00025;C03680;C00785;C01045	R02286;R01168;R02288;R02285;R00525;R02914;R02287
M00046	Pyrimidine_degradation_uracil_beta_alanine_thymine_3_aminoisobutanoate	K00207;K17722;K17723;K01464;K01431;K06016	C00106;C21028;C01205;C02642;C21029;C00178;C00099;C00429	R03055;R00978;R00905;R04666;R11026;R01415;R00977;R02269
M00047	Creatine_pathway	K00613;K00542;K00933;K27382	C00581;C00062;C00791;C02305;C00300	R07420;R00565;R01881;R01883
M00048	De_novo_purine_biosynthesis_PRPP_glutamine_IMP	K00764;K01945;K11787;K11788;K13713;K00601;K11175;K08289;K11787;K01492;K01952;K23269;K23264;K23265;K23270;K23265;K01933;K11787;K11788;K01587;K11808;K01589;K01588;K01923;K01587;K13713;K01756;K00602;K01492;K06863;K11176	C04734;C00064;C00130;C03090;C15667;C03373;C04823;C04677;C04751;C03838;C04376;C00119;C04640	R07405;R04591;R04144;R04209;R07404;R06975;R04325;R01127;R01072;R04208;R04560;R04463;R04559
M00049	Adenine_ribonucleotide_biosynthesis_IMP_ADP_ATP	K01939;K01756;K00939;K18532;K18533;K00944;K00940	C00002;C00008;C00130;C00020;C03794	R01083;R00127;R00333;R01135;R00331
M00050	Guanine_ribonucleotide_biosynthesis_IMP_GDP_GTP	K00088;K01951;K00942;K00940;K18533	C00144;C00044;C00035;C00130;C00655	R00332;R01230;R01130;R01231;R00330
M00051	De_novo_pyrimidine_biosynthesis_glutamine_PRPP_UMP	K11540;K11541;K01465;K01954;K01955;K01956;K00609;K00610;K00608;K01465;K00226;K00254;K17828;K13421;K00762;K01591	C00169;C00064;C00337;C00295;C01103;C00105;C00119;C00438	R01867;R01868;R01869;R01993;R00575;R01870;R00965;R01397
M00052	Pyrimidine_ribonucleotide_biosynthesis_UMP_UDP_UTP_CDP_CTP	K13800;K13809;K09903;K00940;K18533;K01937	C00112;C00063;C00015;C00105;C00075	R00573;R00158;R00571;R00570;R00156
M00053	Deoxyribonucleotide_biosynthesis_ADP_GDP_CDP_UDP_dATP_dGTP_dCTP_dUTP	K00525;K00526;K10807;K10808;K00940;K18533	C00361;C00460;C00008;C00112;C00705;C00035;C00458;C00015;C01346;C00286;C00206;C00131	R02019;R01137;R02017;R01857;R02326;R02331;R02018;R02024
M00055	N_glycan_precursor_biosynthesis	K01001;K07432;K07441;K03842;K03843;K03844;K03845;K03846;K03847;K03846;K00729;K03848;K03849;K03850	C00110;C01246	R06128;R06260;R06127;R06261;R05969;R06258;R06238;R05973;R06259;R01005;R06262;R05972;R06263;R05970;R06264
M00056	O_glycan_biosynthesis_mucin_type_core	K00710;K00731;K09653;K00727;K09662;K09663;K00739	C02189	R05908;R05915;R05909;R05907;R05912;R05910
M00057	Glycosaminoglycan_biosynthesis_linkage_tetrasaccharide	K00771;K00733;K00734;K10158	C02189	R05926;R05925;R05927;R05928
M00058	Glycosaminoglycan_biosynthesis_chondroitin_sulfate_backbone	K00746;K13499;K00747;K03419		R05932;R05931;R05929
M00059	Glycosaminoglycan_biosynthesis_heparan_sulfate_backbone	K02369;K02370;K02366;K02367;K02368;K02370;K02576;K02577;K02578;K02579;K01793		R05935;R05930;R05936
M00060	KDO2_lipid_A_biosynthesis_Raetz_pathway_LpxL_LpxM_type	K00677;K02535;K02536;K03269;K09949;K00748;K00912;K02527;K02517;K02560	C04824;C04738;C06024;C06025;C04919;C06022;C06026;C00043;C04652;C04932;C06251	R04606;R04550;R04567;R05146;R04587;R05075;R04657;R04549;R04658;R05074
M00061	D_Glucuronate_degradation_D_glucuronate_pyruvate_D_glyceraldehyde_3P	K01812;K00040;K01686;K08323;K00874;K01625;K17463	C00022;C00514;C00118;C00191;C00204;C04442;C00905	R01541;R01482;R05606;R02454;R05605
M00063	CMP_KDO_biosynthesis	K06041;K01627;K03270;K00979	C01112;C04478;C00199;C04121;C01187	R03350;R01530;R03351;R03254
M00064	ADP_L_glycero_D_manno_heptose_biosynthesis	K03271;K03272;K21344;K03273;K03272;K21345;K03274	C05382;C06398;C07836;C06397;C07838;C11472	R05646;R05645;R05176;R05647;R05644
M00065	GPI_anchor_biosynthesis_core_oligosaccharide	K03857;K03859;K03858;K03861;K03860;K11001;K11002;K09658;K03434;K05283;K05284;K07541;K07542;K05285;K05286;K05288;K05287;K05310;K05287	C01194	R05919;R05917;R05916;R12350;R08107;R05918;R05922;R12702;R12351
M00066	Lactosylceramide_biosynthesis	K00720;K07553;K09905	C00195;C01290;C01190	R03354;R01497
M00067	Sulfoglycolipids_biosynthesis_ceramide_1_alkyl_2_acylglycerol_sulfatide_seminolipid	K04628;K01019	C02686;C20825;C00195;C06125;C20859;C03201	R10804;R10805;R01500;R04017
M00068	Glycosphingolipid_biosynthesis_globo_series_LacCer_Gb4Cer	K01988;K00719		R05962;R05960
M00069	Glycosphingolipid_biosynthesis_ganglio_series_LacCer_GT3	K03370;K03371;K03369		R05947;R05937;R05940
M00070	Glycosphingolipid_biosynthesis_lacto_series_LacCer_Lc4Cer	K03766;K07819;K07820;K03877		R06006;R05971
M00071	Glycosphingolipid_biosynthesis_neolacto_series_LacCer_nLc4Cer	K03766;K07966;K07967;K07968;K07969		R05977;R05971
M00072	N_glycosylation_by_oligosaccharyltransferase	K07151;K12666;K12667;K12668;K12669;K12670;K00730;K12691	C03021;C00621	R05976
M00073	N_glycan_precursor_trimming	K01228;K05546;K23741;K01230		R05980;R12479;R05979;R05981;R06722
M00074	N_glycan_biosynthesis_high_mannose_type	K05546;K23741;K01230;K05528;K05529;K05530;K05529;K05531;K05532;K05533;K05534;K05535		R05980;R08599;R12479;R05981;R06722
M00075	N_glycan_biosynthesis_complex_type	K01231;K00736;K00737;K00738;K00744;K09661;K13748;K00717;K07966;K07967;K07968;K00778;K00779		R05986;R05984;R05991;R05987;R05989;R05990;R05985;R05992;R05988
M00076	Dermatan_sulfate_degradation	K01136;K01217;K01135;K01197;K01195	C00426	R07824;R07823;R07822;R07821;R07820
M00077	Chondroitin_sulfate_degradation	K01135;K01197;K01195;K01132		R07823;R07824
M00078	Heparan_sulfate_degradation	K07964;K07965;K01136;K01217;K01565;K10532;K01205;K01195;K01137	C00925	R07816;R07812;R07817;R07819;R07818;R07814;R07813;R07811;R07815
M00079	Keratan_sulfate_degradation	K01132;K12309;K01137;K12373	C00573	R07808;R07806;R07807;R07809;R07810;R07805
M00081	Pectin_degradation	K01051;K01184;K01213	C00333;C02273;C00470;C00714	R02360;R02362;R07413
M00082	Fatty_acid_biosynthesis_initiation	K11262;K02160;K01961;K11263;K01962;K01963;K18472;K00665;K00667;K00668;K11533;K00645;K00648;K18473	C03939;C00083;C01209;C05744;C00024	R10707;R00742;R01626;R01624;R04355
M00083	Fatty_acid_biosynthesis_elongation	K00665;K00667;K00668;K11533;K00647;K09458;K00059;K02372;K01716;K16363;K00208;K02371;K10780;K00209	C04619;C05753;C05763;C04246;C05750;C05747;C05756;C05746;C03939;C05752;C05754;C05757;C05749;C05755;C05745;C05761;C05748;C05223;C04633;C04618;C05760;C05764;C05744;C05759;C05751;C05762;C04688;C05758;C01209;C04620	R04965;R04959;R04429;R04964;R04566;R04430;R04533;R04956;R04726;R04958;R04962;R04535;R04952;R04543;R04955;R04969;R04953;R04961;R04963;R04970;R04537;R04355;R04954;R04536;R04957;R04966;R04568;R04968;R04544;R04724;R04725;R04428;R04967;R04534;R04960
