group	sample
SH-CON	SH-CON-1
SH-CON	SH-CON-2
SH-CON	SH-CON-3
SH-CON	SH-CON-4
SH-CON	SH-CON-5
SH-NAC	SH-NAC-1
SH-NAC	SH-NAC-2
SH-NAC	SH-NAC-3
SH-NAC	SH-NAC-4
SH-NAC	SH-NAC-5
SH-H	SH-H-1
SH-H	SH-H-2
SH-H	SH-H-3
SH-H	SH-H-4
SH-H	SH-H-5
SH-10	SH-10-1
SH-10	SH-10-2
SH-10	SH-10-3
SH-10	SH-10-4
SH-10	SH-10-5	
SH-100	SH-100-1
SH-100	SH-100-2
SH-100	SH-100-3
SH-100	SH-100-4
SH-100	SH-100-5
SH-103	SH-103-1
SH-103	SH-103-2
SH-103	SH-103-3
SH-103	SH-103-4
SH-103	SH-103-5
