GeneID	SH-CON-1	SH-CON-2	SH-CON-3	SH-CON-4	SH-CON-5	SH-NAC-1	SH-NAC-2	SH-NAC-3	SH-NAC-4	SH-NAC-5	SH-H-1	SH-H-2	SH-H-3	SH-H-4	SH-H-5	SH-10-1	SH-10-2	SH-10-3	SH-10-4	SH-10-5	SH-100-1	SH-100-2	SH-100-3	SH-100-4	SH-100-5	SH-103-1	SH-103-2	SH-103-3	SH-103-4	SH-103-5
C02632	17886987	16436416	19325913	19217644	25938861	15347610	22749747	14460214	4049535	12729643	15729833	18557152	34424647	4755443	18325309	4701538	22462051	19248394	22653768	18879921	21804536	27649526	3911245	25706906	15069950	4134074	25130937	3840073	4755896	4137069
C08367	8527987	7305533	14445569	2299352	9607085	2107556	10374647	10225072	6045891	7586429	1965030	2094417	4888589	10469115	1941825	10780244	1760213	8337890	6092747	1638476	1696791	1660859	5670577	1520566	1611021	1634970	1526727	8657922	4936686	1535103
C14809	10114814	9865697	10305625	11517271	12678924	5981917	5267633	5804767	6046352	6288795	2415464	545337	2637871	562484	1936359	4144894	4014752	4006968	4382131	4701240	2136417	550475	2024928	444977	483476	336490	446137	367878	447360	1678445
C08316	29337374	43680982	35585871	24366283	24248459	39673866	23441850	43526019	69893395	79741550	19381718	20272186	25075855	50773346	23922988	23900780	43404877	39681564	18406776	38938465	23086934	25999554	13541942	15274567	18923521	98266788	14204750	73206598	19154487	18712842
C03196	97749019	341222388	99112883	367169257	97256086	96877894	383171900	504640194	99368837	366823288	422110082	102152084	356590858	755433274	375338239	89330853	940911876	1443371409	913747590	584637310	92395892	444305356	329001480	87661700	408004069	1309941502	85442717	323874603	359532003	290155802
C08261	33464024	29296884	28507426	28250747	29699100	15603821	13342336	16949240	15653360	16765978	26085193	26411624	25918401	27429942	23893001	6654911	7034137	7202244	8488556	7772820	5090187	5417391	5497145	5999983	4698733	667021	725029	696765	751101	854183
C18319	38643239	29174310	42404948	8391247	19497616	18243538	5241380	4800277	32283184	48423629	19770782	15802704	15445603	122289909	18844791	28153766	46474289	15953201	100685843	29752063	19396041	4660627	19926648	20295127	24678604	25834470	25126092	27603743	25803035	15876713
C14825	6741291	6718832	6009684	7403818	6963976	6779486	6042747	6038659	6991693	6089776	5467345	5545652	5269283	5550208	5268884	6579199	5753335	6273066	5964841	5780456	5215172	5292333	5645729	4990849	4946992	14615329	6749236	6466173	9331419	6246570
C04741	8239037	8885865	9009912	9280331	8330238	1145768	1383297	6985536	6107734	6060918	770838	626488	677813	3643630	3473364	893600	4258492	4375923	4019439	1055667	656698	630432	738783	729659	625604	840702	2981985	965430	3230655	7826288
C00639	8758019	9285255	8035160	8655947	8402603	5818314	5719232	6680391	5938599	6173219	579250	605562	588506	2617609	699615	4005516	3680840	4134843	4821785	4966738	2861922	2849669	2585812	707600	6677611	635557	2912147	877075	768041	868217
