c_number	entry	name	definition
C00020	M00958	Adenine_ribonucleotide_degradation_AMP_Urate	K01490;K01081;K19970;K03787;K18550;K01081;K19970;K11751;K03787;K02566;K08693;K01488;K19572;K05810;K03783;K03784;K09913;K05810;K00106;K00087;K13479;K13480;K13481;K13482;K11177;K11178;K13483
C00262	M00958	Adenine_ribonucleotide_degradation_AMP_Urate	K01490;K01081;K19970;K03787;K18550;K01081;K19970;K11751;K03787;K02566;K08693;K01488;K19572;K05810;K03783;K03784;K09913;K05810;K00106;K00087;K13479;K13480;K13481;K13482;K11177;K11178;K13483
C00366	M00958	Adenine_ribonucleotide_degradation_AMP_Urate	K01490;K01081;K19970;K03787;K18550;K01081;K19970;K11751;K03787;K02566;K08693;K01488;K19572;K05810;K03783;K03784;K09913;K05810;K00106;K00087;K13479;K13480;K13481;K13482;K11177;K11178;K13483
C00385	M00958	Adenine_ribonucleotide_degradation_AMP_Urate	K01490;K01081;K19970;K03787;K18550;K01081;K19970;K11751;K03787;K02566;K08693;K01488;K19572;K05810;K03783;K03784;K09913;K05810;K00106;K00087;K13479;K13480;K13481;K13482;K11177;K11178;K13483
C00294	M00958	Adenine_ribonucleotide_degradation_AMP_Urate	K01490;K01081;K19970;K03787;K18550;K01081;K19970;K11751;K03787;K02566;K08693;K01488;K19572;K05810;K03783;K03784;K09913;K05810;K00106;K00087;K13479;K13480;K13481;K13482;K11177;K11178;K13483
C00144	M00959	Guanine_ribonucleotide_degradation_GMP_Urate	K01081;K19970;K11751;K03787;K02566;K08693;K20881;K03783;K03784;K09913;K05810;K01487;K00106;K00087;K13479;K13480;K13481;K13482;K11177;K11178;K13483
C00242	M00959	Guanine_ribonucleotide_degradation_GMP_Urate	K01081;K19970;K11751;K03787;K02566;K08693;K20881;K03783;K03784;K09913;K05810;K01487;K00106;K00087;K13479;K13480;K13481;K13482;K11177;K11178;K13483
C00366	M00959	Guanine_ribonucleotide_degradation_GMP_Urate	K01081;K19970;K11751;K03787;K02566;K08693;K20881;K03783;K03784;K09913;K05810;K01487;K00106;K00087;K13479;K13480;K13481;K13482;K11177;K11178;K13483
C00385	M00959	Guanine_ribonucleotide_degradation_GMP_Urate	K01081;K19970;K11751;K03787;K02566;K08693;K20881;K03783;K03784;K09913;K05810;K01487;K00106;K00087;K13479;K13480;K13481;K13482;K11177;K11178;K13483
C00387	M00959	Guanine_ribonucleotide_degradation_GMP_Urate	K01081;K19970;K11751;K03787;K02566;K08693;K20881;K03783;K03784;K09913;K05810;K01487;K00106;K00087;K13479;K13480;K13481;K13482;K11177;K11178;K13483
C04092	M00960	Lysine_degradation_bacteria_L_lysine_D_lysine_succinate	K25316;K25317;K26064;K13609;K26065;K26061;K26062;K25986;K26063;K15737
C00739	M00960	Lysine_degradation_bacteria_L_lysine_D_lysine_succinate	K25316;K25317;K26064;K13609;K26065;K26061;K26062;K25986;K26063;K15737
C00042	M00960	Lysine_degradation_bacteria_L_lysine_D_lysine_succinate	K25316;K25317;K26064;K13609;K26065;K26061;K26062;K25986;K26063;K15737
C00026	M00960	Lysine_degradation_bacteria_L_lysine_D_lysine_succinate	K25316;K25317;K26064;K13609;K26065;K26061;K26062;K25986;K26063;K15737
C00047	M00960	Lysine_degradation_bacteria_L_lysine_D_lysine_succinate	K25316;K25317;K26064;K13609;K26065;K26061;K26062;K25986;K26063;K15737
C00956	M00960	Lysine_degradation_bacteria_L_lysine_D_lysine_succinate	K25316;K25317;K26064;K13609;K26065;K26061;K26062;K25986;K26063;K15737
C00450	M00960	Lysine_degradation_bacteria_L_lysine_D_lysine_succinate	K25316;K25317;K26064;K13609;K26065;K26061;K26062;K25986;K26063;K15737
C01087	M00960	Lysine_degradation_bacteria_L_lysine_D_lysine_succinate	K25316;K25317;K26064;K13609;K26065;K26061;K26062;K25986;K26063;K15737
C03239	M00960	Lysine_degradation_bacteria_L_lysine_D_lysine_succinate	K25316;K25317;K26064;K13609;K26065;K26061;K26062;K25986;K26063;K15737
C04076	M00960	Lysine_degradation_bacteria_L_lysine_D_lysine_succinate	K25316;K25317;K26064;K13609;K26065;K26061;K26062;K25986;K26063;K15737
C00322	M00960	Lysine_degradation_bacteria_L_lysine_D_lysine_succinate	K25316;K25317;K26064;K13609;K26065;K26061;K26062;K25986;K26063;K15737
C00408	M00960	Lysine_degradation_bacteria_L_lysine_D_lysine_succinate	K25316;K25317;K26064;K13609;K26065;K26061;K26062;K25986;K26063;K15737
C08539	M00961	Betacyanin_biosynthesis_L_tyrosine_amaranthin	K26037;K15777;K15776;K15774;K26038
C08540	M00961	Betacyanin_biosynthesis_L_tyrosine_amaranthin	K26037;K15777;K15776;K15774;K26038
C17751	M00961	Betacyanin_biosynthesis_L_tyrosine_amaranthin	K26037;K15777;K15776;K15774;K26038
C08538	M00961	Betacyanin_biosynthesis_L_tyrosine_amaranthin	K26037;K15777;K15776;K15774;K26038
C08537	M00961	Betacyanin_biosynthesis_L_tyrosine_amaranthin	K26037;K15777;K15776;K15774;K26038
C00355	M00961	Betacyanin_biosynthesis_L_tyrosine_amaranthin	K26037;K15777;K15776;K15774;K26038
C00082	M00961	Betacyanin_biosynthesis_L_tyrosine_amaranthin	K26037;K15777;K15776;K15774;K26038
C05604	M00961	Betacyanin_biosynthesis_L_tyrosine_amaranthin	K26037;K15777;K15776;K15774;K26038
C17758	M00961	Betacyanin_biosynthesis_L_tyrosine_amaranthin	K26037;K15777;K15776;K15774;K26038
C07576	M00962	Psilocybin_biosynthesis_tryptophan_psilocybin	K22433;K22434;K22435;K22436
C21779	M00962	Psilocybin_biosynthesis_tryptophan_psilocybin	K22433;K22434;K22435;K22436
