c_number	entry	name	definition
C03686	M00937	Aflatoxin_biosynthesis_malonyl_CoA_aflatoxin_B1	K15316;K17643;K17644;K17645;K17652;K17646;K24440;K24855;K17648;K24439;K24856;K24438;K24857;K24858;K17649;K17650;K17651
C20502	M00937	Aflatoxin_biosynthesis_malonyl_CoA_aflatoxin_B1	K15316;K17643;K17644;K17645;K17652;K17646;K24440;K24855;K17648;K24439;K24856;K24438;K24857;K24858;K17649;K17650;K17651
C20507	M00937	Aflatoxin_biosynthesis_malonyl_CoA_aflatoxin_B1	K15316;K17643;K17644;K17645;K17652;K17646;K24440;K24855;K17648;K24439;K24856;K24438;K24857;K24858;K17649;K17650;K17651
C20574	M00937	Aflatoxin_biosynthesis_malonyl_CoA_aflatoxin_B1	K15316;K17643;K17644;K17645;K17652;K17646;K24440;K24855;K17648;K24439;K24856;K24438;K24857;K24858;K17649;K17650;K17651
C00961	M00937	Aflatoxin_biosynthesis_malonyl_CoA_aflatoxin_B1	K15316;K17643;K17644;K17645;K17652;K17646;K24440;K24855;K17648;K24439;K24856;K24438;K24857;K24858;K17649;K17650;K17651
C20501	M00937	Aflatoxin_biosynthesis_malonyl_CoA_aflatoxin_B1	K15316;K17643;K17644;K17645;K17652;K17646;K24440;K24855;K17648;K24439;K24856;K24438;K24857;K24858;K17649;K17650;K17651
C00460	M00938	Pyrimidine_deoxyribonucleotide_biosynthesis_UDP_dTTP	K00525;K00526;K10807;K10808;K00940;K18533;K01520;K00560;K13998;K03465;K00943
C00364	M00938	Pyrimidine_deoxyribonucleotide_biosynthesis_UDP_dTTP	K00525;K00526;K10807;K10808;K00940;K18533;K01520;K00560;K13998;K03465;K00943
C00015	M00938	Pyrimidine_deoxyribonucleotide_biosynthesis_UDP_dTTP	K00525;K00526;K10807;K10808;K00940;K18533;K01520;K00560;K13998;K03465;K00943
C01346	M00938	Pyrimidine_deoxyribonucleotide_biosynthesis_UDP_dTTP	K00525;K00526;K10807;K10808;K00940;K18533;K01520;K00560;K13998;K03465;K00943
C00363	M00938	Pyrimidine_deoxyribonucleotide_biosynthesis_UDP_dTTP	K00525;K00526;K10807;K10808;K00940;K18533;K01520;K00560;K13998;K03465;K00943
C00459	M00938	Pyrimidine_deoxyribonucleotide_biosynthesis_UDP_dTTP	K00525;K00526;K10807;K10808;K00940;K18533;K01520;K00560;K13998;K03465;K00943
