"CK0d"	"ABA1d"	"ABA2d"	"ABA3d"
"TRINITY_DN0_c0_g1_i2"	0.936144433988757	-0.681919907186698	0.774637087549802	-1.02886161435186
"TRINITY_DN0_c0_g2_i1"	-0.818372433203303	1.28252396248279	-0.769514377489673	0.305362848210187
"TRINITY_DN0_c0_g3_i6"	1.1789194421924	-0.734408832841168	0.474880899431131	-0.919391508782364
"TRINITY_DN10000_c0_g1_i2"	0.672986876965779	-1.36416258844415	-0.12732184158812	0.818497553066487
"TRINITY_DN10001_c0_g1_i5"	0.844338801589407	-1.11670615694083	-0.571971446237985	0.844338801589407
"TRINITY_DN10002_c0_g1_i2"	0.117249538059442	-0.664414049003511	-0.820746766416101	1.36791127736017
"TRINITY_DN10003_c0_g1_i1"	-0.326552401693197	-0.807787519977909	1.4608923233643	-0.326552401693197
"TRINITY_DN10004_c0_g1_i2"	-0.805970255997725	0.750386100411675	0.972722722755875	-0.917138567169825
"TRINITY_DN10005_c0_g1_i3"	-0.710619504152029	-0.491967349028328	-0.273315193904626	1.47590204708498
"TRINITY_DN10006_c0_g1_i1"	-0.175561720794195	1.46301433995163	-0.643726309578718	-0.643726309578718
"TRINITY_DN10006_c0_g2_i2"	-1.25830573921179	1.12585250350529	0.331133089266261	-0.198679853559757
"TRINITY_DN10007_c0_g1_i1"	-0.984731927834662	1.23091490979333	0.369274472937999	-0.615457454896664
"TRINITY_DN10008_c0_g1_i2"	1.45295994608594	-0.24588552933762	-0.380004908976322	-0.827069507771995
"TRINITY_DN10009_c0_g1_i3"	-0.858955690387333	1.01512945227594	0.702781928498728	-0.858955690387333
"TRINITY_DN1000_c0_g1_i3"	-0.757738657221825	1.35075151939543	0.164725795048223	-0.757738657221825
"TRINITY_DN1000_c0_g2_i3"	0.563734521002122	-0.338240712601273	1.01472213780382	-1.24021594620467
"TRINITY_DN10010_c0_g1_i10"	0.730129467695602	-0.755748045509482	0.986315245834409	-0.960696668020528
"TRINITY_DN10011_c0_g1_i33"	-1.40466256555691	0.961084913275781	0.271075231949579	0.17250242033155
"TRINITY_DN10011_c1_g1_i2"	1.47891127022123	-0.727718244077111	-0.399071295139061	-0.352121731005054
"TRINITY_DN10012_c0_g1_i2"	-1.0690449676497	-0.267261241912425	1.33630620956212	0
"TRINITY_DN10013_c0_g1_i1"	-0.676252226000574	-0.405751335600345	1.48775489720126	-0.405751335600345
"TRINITY_DN10014_c0_g1_i11"	-1.0134979542729	1.31893569391678	0.152718869821943	-0.458156609465829
"TRINITY_DN10016_c0_g1_i5"	-1.42009389360939	0.903696114115063	0.12909944487358	0.387298334620743
"TRINITY_DN10017_c0_g1_i6"	-0.805970255997725	-0.917138567169824	0.972722722755875	0.750386100411676
"TRINITY_DN10018_c0_g1_i3"	-1.47563289714275	0.618813795575993	0.618813795575993	0.238005305990766
"TRINITY_DN10019_c0_g1_i3"	-0.886740403841481	1.43006111370967	-0.37417369641866	-0.169147013449531
"TRINITY_DN1001_c0_g1_i9"	1.33383943941165	-0.848082986849798	0.195098903078124	-0.680855355639978
"TRINITY_DN10020_c0_g1_i3"	-0.816496580927725	0.408248290463863	1.22474487139159	-0.816496580927725
"TRINITY_DN10023_c0_g1_i1"	1.43901681776949	-0.708324340352859	-0.64867597484946	-0.0820165025671731
"TRINITY_DN10025_c0_g1_i15"	0.73363244237803	0.22573305919324	-1.46726488475606	0.507899383184791
"TRINITY_DN10026_c0_g1_i3"	-1.42896911248235	0.831546997659223	0.508616124781855	0.0888059900412761
"TRINITY_DN10027_c0_g2_i1"	-0.0309081972238345	-0.0309081972238345	-1.19305641284001	1.25487280728768
"TRINITY_DN10028_c0_g1_i9"	0.848874687627165	-0.606339062590833	0.848874687627165	-1.0914103126635
"TRINITY_DN10029_c0_g1_i2"	-0.940875072280773	0.784062560233975	0.940875072280767	-0.784062560233975
"TRINITY_DN1002_c0_g1_i6"	1.42204477787921	-0.359794461873054	-0.908052689489136	-0.154197626517023
"TRINITY_DN10030_c0_g2_i10"	-1.41529465285282	0.433253465159025	0.895390494661985	0.0866506930318047
"TRINITY_DN10031_c0_g1_i3"	1.25830573921179	-1.12585250350529	-0.331133089266261	0.198679853559756
"TRINITY_DN10032_c0_g1_i2"	-0.995421007352404	0.215553454146871	1.30058657165022	-0.520719018444688
"TRINITY_DN10034_c0_g3_i3"	1.29480045184814	-0.579155757664267	0.24715564180577	-0.962800335989641
"TRINITY_DN10035_c0_g1_i9"	-0.748383270376781	-0.748383270376781	1.36469890480472	0.132067635948843
"TRINITY_DN10036_c0_g1_i6"	-1.39075897491829	-0.0662266178532508	0.728492796385775	0.728492796385775
"TRINITY_DN10037_c0_g1_i1"	1.41795574816023	-0.296781435661444	-0.929915165072525	-0.191259147426263
"TRINITY_DN10037_c0_g2_i6"	1.21730164495717	-0.709362829075758	-0.919544408061168	0.411605592179762
"TRINITY_DN10038_c1_g1_i1"	1.22427263506349	-0.850189329905202	0.408090878354497	-0.782174183512786
"TRINITY_DN10040_c0_g1_i5"	0.549395265504878	-0.988911477908781	1.12076634162995	-0.681250129226049
"TRINITY_DN10041_c0_g1_i7"	1.06135121706826	-1.32260690126967	0.34289808551436	-0.0816424013129429
"TRINITY_DN10042_c0_g1_i1"	-1.13473510669946	0.378245035566487	1.17923452264846	-0.422744451515486
"TRINITY_DN10044_c0_g1_i1"	-0.903862127915328	-0.0117384691937057	1.39687783405096	-0.481277236941928
"TRINITY_DN10044_c0_g2_i1"	-1.47709789175199	0.369274472937998	0.369274472937998	0.738548945875996
