"CK0d"	"Put1d"	"Put2d"	"Put3d"
"TRINITY_DN0_c0_g1_i2"	0.218346408820601	1.26581904573024	-1.09468267124923	-0.389482783301613
"TRINITY_DN0_c0_g2_i1"	-0.433682482187184	1.49379521642252	-0.626430252048155	-0.433682482187184
"TRINITY_DN0_c0_g3_i6"	0.701287331655938	0.894179823757351	-1.26457444954783	-0.330892705865457
"TRINITY_DN10000_c0_g1_i2"	0.855527738208045	-1.42587956368007	0.0950586375786713	0.475293187893358
"TRINITY_DN10001_c0_g1_i5"	0.171395737406038	1.34668079390458	-0.808008476342746	-0.710068054967868
"TRINITY_DN10002_c0_g1_i2"	0.325932960311724	-1.04298547299752	-0.521492736498758	1.23854524918455
"TRINITY_DN10003_c0_g1_i1"	-0.72764497030817	-0.837478173373554	0.260853857280287	1.30426928640144
"TRINITY_DN10004_c0_g1_i2"	-0.511443626528433	0.0581641771346063	1.37387797714501	-0.92059852775118
"TRINITY_DN10005_c0_g1_i3"	-0.146385010942279	1.02469507659596	-1.31746509848052	0.439155032826841
"TRINITY_DN10006_c0_g1_i1"	0.316650248190562	0.82329064529546	0.316650248190562	-1.45659114167658
"TRINITY_DN10006_c0_g2_i2"	-1.02469507659596	-0.43915503282684	0.146385010942279	1.31746509848052
"TRINITY_DN10007_c0_g1_i1"	-0.783349451800641	-0.484930613019444	-0.186511774238248	1.45479183905833
"TRINITY_DN10008_c0_g1_i2"	0.903955834227946	-1.42487953530846	0.168534138584871	0.35238956249564
"TRINITY_DN10009_c0_g1_i3"	-1.05021006302101	0.630126037812604	1.05021006302101	-0.630126037812604
"TRINITY_DN1000_c0_g1_i3"	-0.369274472937998	-0.738548945875997	1.47709789175199	-0.369274472937998
"TRINITY_DN1000_c0_g2_i3"	-0.580651326789798	1.0783524640382	0.580651326789798	-1.0783524640382
"TRINITY_DN10010_c0_g1_i10"	-0.455525323174377	0.200431142196726	1.29369191781523	-1.03859773683758
"TRINITY_DN10011_c0_g1_i33"	-1.25077879421902	1.19755416467779	0.0266123147706178	0.0266123147706178
"TRINITY_DN10011_c1_g1_i2"	0.471858274405363	-0.499614643488032	-1.11025476330674	1.13801113238941
"TRINITY_DN10012_c0_g1_i2"	1.02469507659596	0.43915503282684	-0.146385010942281	-1.31746509848052
"TRINITY_DN10013_c0_g1_i1"	-0.89671400762119	-0.468432690548383	1.40529807164515	-0.0401513734755758
"TRINITY_DN10014_c0_g1_i11"	-1.42566752121274	0.369617505499602	0.897642513356174	0.158407502356972
"TRINITY_DN10016_c0_g1_i5"	-0.576350527713688	-1.08065723946317	0.57635052771369	1.08065723946317
"TRINITY_DN10017_c0_g1_i6"	-0.031028580141905	-1.3962861063857	0.837771663831423	0.589543022696186
"TRINITY_DN10018_c0_g1_i3"	-0.838742136829326	1.14373927749453	0.533744996164116	-0.838742136829326
"TRINITY_DN10019_c0_g1_i3"	-0.756400256302317	1.47298997279925	-0.384835218118722	-0.331754498378209
"TRINITY_DN1001_c0_g1_i9"	1.22006662828197	-0.626664538626835	-0.983237991603463	0.389835901948329
"TRINITY_DN10020_c0_g1_i3"	-0.172440374678854	0.977162123180168	0.517321124036559	-1.32204287253787
"TRINITY_DN10023_c0_g1_i1"	1.41827670845291	-0.406983751121269	-0.110995568487619	-0.900297388844019
"TRINITY_DN10025_c0_g1_i15"	0.251172366321788	1.31016937027311	-0.753517098965365	-0.807824637629536
"TRINITY_DN10026_c0_g1_i3"	-0.265684465662029	-0.398526698493043	-0.797053396986086	1.46126456114116
"TRINITY_DN10027_c0_g2_i1"	-0.379631531993067	-0.680173161487578	-0.4270854734922	1.48689016697284
"TRINITY_DN10028_c0_g1_i9"	0.3324239265716	0.127855356373692	0.946129637165321	-1.40640892011061
"TRINITY_DN10029_c0_g1_i2"	0.671615675560334	-1.39489409539454	-0.0516627442738707	0.774941164108077
"TRINITY_DN1002_c0_g1_i6"	-0.443310347466789	0.82329064529546	0.82329064529546	-1.20327094312414
"TRINITY_DN10030_c0_g2_i10"	-0.842927230423525	0	1.40487871737254	-0.561951486949017
"TRINITY_DN10031_c0_g1_i3"	0.198679853559759	0.198679853559759	-1.39075897491829	0.993399267798783
"TRINITY_DN10032_c0_g1_i2"	-0.628512969025932	1.42911877480896	-0.0523760807521612	-0.748229725030872
"TRINITY_DN10034_c0_g3_i3"	0.732319259485961	0.33668702653038	0.408620159795031	-1.47762644581137
"TRINITY_DN10035_c0_g1_i9"	-0.99233395996655	-0.255171589705684	-0.141761994280936	1.38926754395317
"TRINITY_DN10036_c0_g1_i6"	-0.315790685274403	0.149585061445771	1.27978330348048	-1.11357767965184
"TRINITY_DN10037_c0_g1_i1"	0.158816202420345	1.08818509065792	-1.33523251664513	0.0882312235668587
"TRINITY_DN10037_c0_g2_i6"	0.458043421335521	0.949141522561234	-1.37413026400656	-0.033054679890193
"TRINITY_DN10038_c1_g1_i1"	-0.331433946886279	-0.114810452189365	1.40155401068904	-0.955309611613393
"TRINITY_DN10040_c0_g1_i5"	-0.0572802730695676	-1.26537330508226	1.17164194915024	0.151011629001586
"TRINITY_DN10041_c0_g1_i7"	-0.0257285716631044	1.10632858151347	-1.3121571548183	0.231557144967936
"TRINITY_DN10042_c0_g1_i1"	-1.0914103126635	1.33394593769983	-0.121267812518166	-0.121267812518166
"TRINITY_DN10044_c0_g1_i1"	-0.996647925104032	0.927913585441685	0.790444906116992	-0.721710566454645
"TRINITY_DN10044_c0_g2_i1"	-1.21725400680103	-0.405751335600344	0.946753116400804	0.676252226000574
