	CK0d	Put1d	Put2d	Put3d
TRINITY_DN1000_c0_g1_i3	-0.369274472937998	-0.738548945875997	1.47709789175199	-0.369274472937998
TRINITY_DN10012_c0_g1_i2	1.02469507659596	0.43915503282684	-0.146385010942281	-1.31746509848052
TRINITY_DN10023_c0_g1_i1	1.41827670845291	-0.406983751121269	-0.110995568487619	-0.900297388844019
TRINITY_DN10028_c0_g1_i9	0.3324239265716	0.127855356373692	0.946129637165321	-1.40640892011061
TRINITY_DN10034_c0_g3_i3	0.732319259485961	0.33668702653038	0.408620159795031	-1.47762644581137
TRINITY_DN10040_c0_g1_i5	-0.0572802730695676	-1.26537330508226	1.17164194915024	0.151011629001586
TRINITY_DN10056_c0_g2_i3	1.36711123724862	-0.787124651749203	0.124282839749874	-0.704269425249287
TRINITY_DN10067_c0_g1_i11	1.46237024296509	-0.776320005524679	-0.234701397019089	-0.451348840421324
TRINITY_DN1006_c0_g1_i9	1.0666771039275	-0.526912786277441	0.578318911767923	-1.11808322941798
TRINITY_DN10078_c0_g1_i1	0.363930132121305	-0.475908634312476	1.20376889855509	-1.09179039636392
TRINITY_DN10079_c0_g1_i2	0.104802420196163	-0.221249553747455	1.26927375570908	-1.15282662215779
TRINITY_DN10086_c0_g1_i4	0.485837315504217	-0.217076247352948	1.02335945180676	-1.29212051995802
TRINITY_DN10092_c0_g1_i4	0.0663236532428076	-0.331618266214036	1.32647306485615	-1.06117845188492
TRINITY_DN10095_c0_g1_i10	1.17651060989261	0.479319137363655	-0.740765939562012	-0.915063807694249
TRINITY_DN10099_c0_g1_i1	1.09544511501034	0.547722557505164	-0.547722557505164	-1.09544511501033
TRINITY_DN1009_c0_g1_i1	1.18002015703606	-0.612096017286086	0.448029043580537	-1.01595318333051
TRINITY_DN10100_c0_g1_i4	1.00944649655257	0.591744497979093	-0.382893498692356	-1.21829749583931
TRINITY_DN10110_c0_g1_i11	0.249636133330334	-0.224558530895324	1.18890633362346	-1.21398393605847
TRINITY_DN10113_c0_g1_i8	1.12009298494852	-0.373364328316172	0.441248751646385	-1.18797740827873
TRINITY_DN10116_c0_g1_i13	0.833333333333333	-0.5	0.833333333333333	-1.16666666666667
TRINITY_DN10118_c0_g1_i8	1.38043077474644	0.0476010611981531	-0.523611673179686	-0.904420162764912
TRINITY_DN10124_c0_g2_i3	0.858955690387333	-0.702781928498728	0.858955690387333	-1.01512945227594
TRINITY_DN1012_c0_g1_i4	0.236148920376192	-0.708446761128571	1.31568684209592	-0.843389001343539
TRINITY_DN10134_c0_g1_i4	0.43915503282684	-0.982870787755308	1.19199223195857	-0.648276477030096
TRINITY_DN10143_c0_g1_i4	1.42344614730612	-0.182493095808477	-0.328487572455258	-0.912465479042385
TRINITY_DN10153_c0_g1_i3	0.727977403663395	-1.32748820668031	0.813621804094383	-0.214111001077469
TRINITY_DN10162_c0_g1_i1	-0.0580558657849512	-0.98694971834417	1.38172960568184	-0.336724021552716
TRINITY_DN10166_c0_g1_i1	-0.0828751856779467	-0.162892606332517	1.33457626591729	-1.08880847390682
TRINITY_DN10177_c0_g1_i3	0.826186582838841	-1.37697763806474	0.64258956443021	-0.0917985092043154
TRINITY_DN10181_c0_g1_i5	0.695888363844457	0.695888363844457	0.0331375411354508	-1.42491426882436
TRINITY_DN10183_c0_g1_i3	0.65306612718016	-0.624040965972153	1.03039322288425	-1.05941838409226
TRINITY_DN10184_c0_g1_i13	0.866025403784423	-0.866025403784454	0.866025403784423	-0.866025403784454
TRINITY_DN10186_c0_g1_i5	-0.178723468980897	-1.17957489527392	1.25106428286628	0.107234081388538
TRINITY_DN101_c0_g2_i1	0.330289129537909	0.495433694306862	0.660578259075816	-1.48630108292059
TRINITY_DN10204_c0_g1_i2	-0.0279873152916173	-0.251885837624552	1.34339113399761	-1.06351798108144
